element_type,osmid,nodes,building,geometry,addr:RU:egrn,addr:housenumber,addr:street,source:addr
way,1190330217,"[11052384648, 11052384645, 11052384646, 11052384647, 11052384648]",yes,"POLYGON ((34.3702045 53.137603, 34.3702823 53.137603, 34.3702823 53.137537, 34.3702045 53.137537, 34.3702045 53.137603))",,,,
way,1190330218,"[11052384652, 11052384649, 11052384650, 11052384651, 11052384652]",yes,"POLYGON ((34.3702555 53.1373471, 34.370323 53.137352, 34.3703364 53.1372844, 34.3702689 53.1372796, 34.3702555 53.1373471))",,,,
way,1190330219,"[11052384656, 11052384653, 11052384654, 11052384655, 11052384656]",yes,"POLYGON ((34.3700463 53.1371492, 34.3701544 53.1371562, 34.3701651 53.1370967, 34.370057 53.1370897, 34.3700463 53.1371492))",,,,
way,1190330220,"[11052384660, 11052384657, 11052384658, 11052384659, 11052384660]",yes,"POLYGON ((34.3694481 53.1369754, 34.3697077 53.1369824, 34.369713 53.13691, 34.3694535 53.136903, 34.3694481 53.1369754))","Брянская область, р-н. Брянский, п. Свень, ул. Свенская, д. 3",3,Свенская улица,ЕГРН
way,1190330221,"[11052384664, 11052384661, 11052384662, 11052384663, 11052384664]",yes,"POLYGON ((34.3688366 53.1368371, 34.368917 53.1368423, 34.3689277 53.1367827, 34.3688473 53.1367775, 34.3688366 53.1368371))",,,,
way,1190330222,"[11052384668, 11052384665, 11052384666, 11052384667, 11052384668]",yes,"POLYGON ((34.3683994 53.1369352, 34.368606 53.1369778, 34.3686356 53.1369263, 34.3684289 53.1368837, 34.3683994 53.1369352))",,,,
way,1190330223,"[11052384672, 11052384669, 11052384670, 11052384671, 11052384672]",yes,"POLYGON ((34.3683082 53.137072, 34.3684245 53.1371036, 34.3684889 53.1370183, 34.3683726 53.1369867, 34.3683082 53.137072))",,,,
way,1190330224,"[11052384676, 11052384673, 11052384674, 11052384675, 11052384676]",yes,"POLYGON ((34.3690324 53.1373793, 34.3691715 53.1374097, 34.3692144 53.1373389, 34.3690753 53.1373085, 34.3690324 53.1373793))","Брянская обл, р-н Брянский, п Свень, ул Свенская, дом 2а",2А,Свенская улица,ЕГРН
way,1190330225,"[11052384680, 11052384677, 11052384678, 11052384679, 11052384680]",yes,"POLYGON ((34.3684208 53.1375241, 34.3685215 53.1375513, 34.368594 53.1374548, 34.3684933 53.1374276, 34.3684208 53.1375241))","Брянская область, р-н Брянский, п Свень, ул Свенская, д 2",2,Свенская улица,ЕГРН
way,1190330226,"[11052384684, 11052384681, 11052384682, 11052384683, 11052384684]",yes,"POLYGON ((34.3684289 53.1378781, 34.3685307 53.1379041, 34.3686004 53.137806, 34.3684986 53.13778, 34.3684289 53.1378781))","обл. Брянская, р-н Брянский, п. Свень, ул. Свенская, дом 6",6,Свенская улица,ЕГРН
way,1190330227,"[11052384688, 11052384685, 11052384686, 11052384687, 11052384688]",yes,"POLYGON ((34.368099 53.1377494, 34.3682546 53.1377835, 34.3683163 53.1376821, 34.3681607 53.137648, 34.368099 53.1377494))","Брянская область, р-н Брянский, п Свень, ул Свенская, д 4",4,Свенская улица,ЕГРН
way,1190330228,"[11052384692, 11052384689, 11052384690, 11052384691, 11052384692]",yes,"POLYGON ((34.3688554 53.1379795, 34.3690153 53.1380104, 34.3690662 53.1379154, 34.3689063 53.1378846, 34.3688554 53.1379795))",,,,
way,1190330229,"[11052384696, 11052384693, 11052384694, 11052384695, 11052384696]",yes,"POLYGON ((34.3690807 53.1380986, 34.3691745 53.1381394, 34.3693167 53.138022, 34.3692228 53.1379811, 34.3690807 53.1380986))","обл. Брянская, р-н Брянский, п. Свень, ул. Свенская, дом 6а",6А,Свенская улица,ЕГРН
way,1190330230,"[11052384700, 11052384697, 11052384698, 11052384699, 11052384700]",yes,"POLYGON ((34.3692926 53.1382691, 34.3693759 53.1382981, 34.3694537 53.1382177, 34.3693703 53.1381887, 34.3692926 53.1382691))",,,,
way,1190330231,"[11052384704, 11052384703, 11052384702, 11052384701, 11052384704]",yes,"POLYGON ((34.3686596 53.1382498, 34.3687403 53.1382694, 34.3687829 53.1382064, 34.3687022 53.1381867, 34.3686596 53.1382498))",,,,
way,1190330232,"[11052388608, 11052388605, 11052388606, 11052388607, 11052388608]",yes,"POLYGON ((34.3681231 53.1380358, 34.3682232 53.1380601, 34.3682634 53.1380006, 34.3681633 53.1379763, 34.3681231 53.1380358))",,,,
way,1190330233,"[11052388612, 11052388611, 11052388610, 11052388609, 11052388612]",yes,"POLYGON ((34.3679756 53.1380004, 34.3680488 53.1380215, 34.368107 53.1379489, 34.3680338 53.1379278, 34.3679756 53.1380004))",,,,
way,1190330234,"[11052388616, 11052388613, 11052388614, 11052388615, 11052388616]",yes,"POLYGON ((34.3677503 53.1379457, 34.3678238 53.1379669, 34.3678908 53.1378832, 34.3678173 53.137862, 34.3677503 53.1379457))","обл. Брянская, р-н Брянский, п. Свень, ул. Свенская, дом 8",8,Свенская улица,ЕГРН
way,1190330235,"[11052388620, 11052388617, 11052388618, 11052388619, 11052388620]",yes,"POLYGON ((34.3676242 53.1378459, 34.3676926 53.1378699, 34.3677489 53.1378119, 34.3676805 53.137788, 34.3676242 53.1378459))",,,,
way,1190330236,"[11052388624, 11052388621, 11052388622, 11052388623, 11052388624]",yes,"POLYGON ((34.367407 53.1378041, 34.3675253 53.1378332, 34.3675683 53.1377705, 34.3674499 53.1377414, 34.367407 53.1378041))",,,,
way,1190330237,"[11052388628, 11052388625, 11052388626, 11052388627, 11052388628]",yes,"POLYGON ((34.3673614 53.138039, 34.3674341 53.1380587, 34.3674824 53.1379943, 34.3674096 53.1379747, 34.3673614 53.138039))",,,,
way,1190330238,"[11052388632, 11052388629, 11052388630, 11052388631, 11052388632]",yes,"POLYGON ((34.3673077 53.1387486, 34.3674136 53.138771, 34.3674619 53.138689, 34.367356 53.1386665, 34.3673077 53.1387486))","Брянская область, р-н Брянский, п Свень, ул Свенская, д 14",14,Свенская улица,ЕГРН
way,1190330239,"[11052388636, 11052388633, 11052388634, 11052388635, 11052388636]",yes,"POLYGON ((34.3675008 53.1385089, 34.3675906 53.1385335, 34.3676631 53.1384386, 34.3675733 53.1384139, 34.3675008 53.1385089))","обл. Брянская, р-н Брянский, п. Свень, ул. Свенская, участок 12",12,Свенская улица,ЕГРН
way,1190330240,"[11052388640, 11052388639, 11052388638, 11052388637, 11052388640]",yes,"POLYGON ((34.3671817 53.1384574, 34.3672879 53.1384867, 34.3673399 53.1384188, 34.3672337 53.1383895, 34.3671817 53.1384574))","Брянская область, р-н Брянский, п Свень, ул Свенская, 12 Б",12Б,Свенская улица,ЕГРН
way,1190330241,"[11052388644, 11052388641, 11052388642, 11052388643, 11052388644]",yes,"POLYGON ((34.3675357 53.1381243, 34.3676285 53.1381499, 34.3676741 53.1380903, 34.3675813 53.1380648, 34.3675357 53.1381243))",,,,
way,1190330242,"[11052388648, 11052388645, 11052388646, 11052388647, 11052388648]",yes,"POLYGON ((34.3677771 53.1382562, 34.3679197 53.1382902, 34.3679868 53.1381888, 34.3678442 53.1381549, 34.3677771 53.1382562))",,,,
way,1190330243,"[11052388652, 11052388651, 11052388650, 11052388649, 11052388652]",yes,"POLYGON ((34.3688929 53.138533, 34.3690832 53.1385486, 34.3691021 53.1384654, 34.3689118 53.1384498, 34.3688929 53.138533))",,,,
way,1190330244,"[11052388656, 11052388653, 11052388654, 11052388655, 11052388656]",yes,"POLYGON ((34.3683431 53.1384783, 34.368454 53.1384874, 34.3684701 53.1384166, 34.3683591 53.1384075, 34.3683431 53.1384783))","Брянская обл, р-н Брянский, п. Свень, ул. Свенская, участок 2/3",2/3,Свенская улица,ЕГРН
way,1190330245,"[11052388660, 11052388659, 11052388658, 11052388657, 11052388660]",yes,"POLYGON ((34.3681204 53.13843, 34.3682458 53.1384511, 34.368276 53.1383866, 34.3681506 53.1383655, 34.3681204 53.13843))",,,,
way,1190330246,"[11052388664, 11052388661, 11052388662, 11052388663, 11052388664]",yes,"POLYGON ((34.3686703 53.1387229, 34.368771 53.1387398, 34.368814 53.1386481, 34.3687132 53.1386311, 34.3686703 53.1387229))",,,,
way,1190330247,"[11052388668, 11052388665, 11052388666, 11052388667, 11052388668]",yes,"POLYGON ((34.3681017 53.1390366, 34.3682208 53.1390712, 34.3683013 53.1389714, 34.3681821 53.1389369, 34.3681017 53.1390366))","Брянская область, р-н Брянский, п Свень, ул Свенская, д 16",16,Свенская улица,ЕГРН
way,1190330248,"[11052388676, 11052388675, 11052388674, 11052388673, 11052388676]",yes,"POLYGON ((34.3677127 53.1391219, 34.3678093 53.1390366, 34.3677305 53.1390045, 34.367634 53.1390898, 34.3677127 53.1391219))",,,,
