element_type,osmid,operator,railway,ref,geometry,location,man_made,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name,opening_hours,phone,power,building,building:levels,substation,access,parking,fixme,wheelchair,shop,noname,tickets:public_transport,surface,name:ru,layer,nodes,building:flats,design:ref,start_date,height,building:colour,note:cadastre:id,year_of_construction,addr:housenumber2,building:material,roof:shape,abandoned,brand,contact:website,owner,design:note,construction,note,website,health_facility:type,healthcare,name:uk,official_short_type,pipeline,substance,utility,voltage,religion,social_facility,social_facility:for,education,education_form:parttime,education_level:primary,education_profile:music,education_system:ru_standard,landuse,building:min_level,power:output:hot_water,fee,female,male,check_date:opening_hours,toilets,denomination,shelter_type,leisure,sport,outdoor_seating,unisex,heating,voltage:primary,branch,frequency,check_date,roof:colour,roof:height,roof:material,contact:instagram,cuisine,drink:coffee,takeaway,service,service:vehicle:tyres,inscription,ways,type,name:en,old_name,old_name:de,old_name:en,roof:levels,smoking
way,519747383,,,,"POLYGON ((37.6409853 55.8574256, 37.639904 55.8575976, 37.6398764 55.8575428, 37.6409577 55.8573709, 37.6409853 55.8574256))",,,,,,,,,,,,garages,1,,,,,,,,,,,,"[5067449164, 5067449163, 5067449162, 5067449161, 5067449164]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,519747384,,,,"POLYGON ((37.6401663 55.8574385, 37.6410428 55.8572932, 37.6410173 55.8572447, 37.6401408 55.85739, 37.6401663 55.8574385))",,,,,,,,,,,,garages,1,,,,,,,,,,,,"[5067449168, 5067449167, 5067449166, 5067449165, 5067449168]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,519747385,,,,"POLYGON ((37.6400846 55.8574558, 37.6398505 55.8574927, 37.6398263 55.8574442, 37.6400604 55.8574073, 37.6400846 55.8574558))",,,,,,,,,,,,garages,1,,,,,,,,,,,,"[5067449172, 5067449171, 5067449170, 5067449169, 5067449172]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,520111308,,,,"POLYGON ((37.6397228 55.8578388, 37.6396564 55.8578447, 37.6396898 55.8579637, 37.6397562 55.8579579, 37.6397228 55.8578388))",,,,,,,,,,,,yes,,,,,,,,,,,,,"[5070108200, 4426324219, 4426324220, 5070108199, 5070108200]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,520111309,,,,"POLYGON ((37.6398523 55.8578315, 37.6401895 55.8578088, 37.6402142 55.8579249, 37.639877 55.8579475, 37.6398523 55.8578315))",,,,,,,,,,,,yes,,,,,,,,,,,,,"[5070108202, 431593004, 431592999, 5070108201, 5070108202]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,521907148,,,,"POLYGON ((37.6422983 55.8570258, 37.6427007 55.8569596, 37.6426712 55.8568903, 37.6422796 55.8569596, 37.6422983 55.8570258))",,,,,,,,,,,,garages,1,,,,,,,,,,,,"[5084516676, 5084516675, 5084516674, 5084516673, 5084516676]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,521907149,,,,"POLYGON ((37.6392018 55.8602801, 37.6389319 55.8604277, 37.6390451 55.8604929, 37.6393137 55.860346, 37.6392018 55.8602801))",,,,,,,,,,,,yes,,,,,,,,,,,,,"[431592946, 5084516679, 5084516678, 5084516677, 431592946]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,521907166,,,,"POLYGON ((37.6410654 55.8590279, 37.6407265 55.8590534, 37.6407454 55.8591323, 37.6410843 55.8591068, 37.6410654 55.8590279))",,,,,,,,,,,,yes,,,,,,,,,,,,,"[676378924, 5084516872, 5084516871, 5084516870, 676378924]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,523394508,,,,"POLYGON ((37.6403741 55.8472047, 37.6404485 55.8472055, 37.6404502 55.8471534, 37.6403758 55.8471527, 37.6403741 55.8472047))",,,,,,,,,,,substation,yes,1,,,,,,,,,,,,"[5095599817, 9033375169, 5095599815, 5095599814, 5095599817]",,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,524217472,,,,"POLYGON ((37.6564478 55.8531359, 37.6568419 55.8525683, 37.6566353 55.8525231, 37.6562411 55.8530907, 37.6564478 55.8531359))",,,,11 к1,,улица Амундсена,,,,,,apartments,5,,,,,,,,,,,,"[2435862274, 317008784, 317008786, 2435862271, 2435862274]",72,1-511-4/М,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
