element_type,osmid,nodes,addr:city,addr:housenumber,addr:postcode,addr:street,building,denomination,name,religion,website,geometry,layer,building:levels,shop,man_made,tourism,ways,type,amenity
way,210207854,"[2203084839, 2203084838, 2203084864, 2203084865, 2203084839]",Хрящевка,3А,,улица Мира,yes,,,,,"POLYGON ((49.0945102 53.8087355, 49.0942685 53.8087327, 49.0942668 53.808785, 49.0945085 53.8087877, 49.0945102 53.8087355))",,,,,,,,
way,210207855,"[2203086280, 2203086279, 2203086331, 2203086333, 2203086280]",Хрящёвка,83,,улица Ленина,yes,,,,,"POLYGON ((49.088029 53.8160606, 49.0878177 53.8160585, 49.0878145 53.816174, 49.0880258 53.8161761, 49.088029 53.8160606))",,,,,,,,
way,210207856,"[2203084746, 2203084745, 2203084774, 2203084775, 2203084746]",Хрящёвка,6,,Новая улица,yes,,,,,"POLYGON ((49.096269 53.8077822, 49.0961179 53.8077822, 49.0961179 53.8079103, 49.096269 53.8079103, 49.096269 53.8077822))",,,,,,,,
way,210207857,"[2203084721, 2203084720, 2203084725, 2203084726, 2203084721]",,,,,yes,,,,,"POLYGON ((49.0900639 53.807638, 49.0899155 53.807638, 49.0899155 53.8077199, 49.0900639 53.8077199, 49.0900639 53.807638))",,,,,,,,
way,210207858,"[2203084652, 2203084653, 2203084657, 2203084656, 2203084652]",,,,,yes,,,,,"POLYGON ((49.0928213 53.8070801, 49.092668 53.807083, 49.0926731 53.807178, 49.0928264 53.8071752, 49.0928213 53.8070801))",,,,,,,,
way,210207859,"[2203086483, 2203086480, 2203086506, 2203086508, 2203086483]",Хрящёвка,78,,улица Ленина,yes,,,,,"POLYGON ((49.0908294 53.8164758, 49.0906202 53.8164729, 49.0906172 53.8165491, 49.0908263 53.816552, 49.0908294 53.8164758))",,,,,,,,
way,210207860,"[2203086758, 2203086756, 2203086803, 2203086807, 2203086758]",,18,,Первомайская улица,yes,,,,,"POLYGON ((49.0884115 53.8172708, 49.0882457 53.8172683, 49.0882404 53.817391, 49.0884062 53.8173935, 49.0884115 53.8172708))",,1,,,,,,
way,210207861,"[2203086244, 2203086243, 2203086259, 2203086260, 2203086244]",,,,,yes,,,,,"POLYGON ((49.0861891 53.8159358, 49.0860574 53.8159333, 49.0860539 53.8159988, 49.0861856 53.8160013, 49.0861891 53.8159358))",,,,,,,,
way,210207862,"[2203085382, 2203085381, 2203085394, 2203085395, 2203085382]",,,,,yes,,,,,"POLYGON ((49.0909286 53.8117667, 49.0908151 53.8117667, 49.0908151 53.8118699, 49.0909286 53.8118699, 49.0909286 53.8117667))",,,,,,,,
way,210207863,"[2203086208, 2203086209, 2203086242, 2203086241, 2203086208]",Хрящёвка,81,,улица Ленина,yes,,,,,"POLYGON ((49.0880326 53.8158288, 49.0878248 53.8158298, 49.0878261 53.8159244, 49.0880339 53.8159233, 49.0880326 53.8158288))",,,,,,,,
way,210207864,"[2203085557, 2203085556, 2203085562, 2203085563, 2203085557]",,,,,yes,,,,,"POLYGON ((49.0898484 53.8126555, 49.0897078 53.8126536, 49.0897052 53.8127197, 49.0898459 53.8127216, 49.0898484 53.8126555))",,,,,,,,
way,210207865,"[2203084688, 2203084687, 2203084710, 2203084711, 2203084688]",,,,,yes,,,,,"POLYGON ((49.0900396 53.8074053, 49.0899325 53.8074053, 49.0899325 53.8074685, 49.0900396 53.8074685, 49.0900396 53.8074053))",,,,,,,,
way,210207866,"[2203086128, 2203086127, 2203086133, 2203086134, 2203086128]",Хрящёвка,66,,Школьная улица,yes,,,,,"POLYGON ((49.0828598 53.8154412, 49.0827266 53.8154412, 49.0827266 53.8154914, 49.0828598 53.8154914, 49.0828598 53.8154412))",,,,,,,,
way,210207867,"[2203085947, 2203085944, 2203085975, 2203085976, 2203085947]",Хрящёвка,,,Советская улица,yes,,,,,"POLYGON ((49.0818352 53.8148389, 49.0816743 53.8148376, 49.0816721 53.814934, 49.0818329 53.8149354, 49.0818352 53.8148389))",,,,,,,,
way,210207868,"[2203086684, 2203086686, 2203086708, 2203086706, 2203086684]",,,,,yes,,,,,"POLYGON ((49.0861508 53.8170217, 49.0859818 53.8170227, 49.0859831 53.8170943, 49.0861521 53.8170933, 49.0861508 53.8170217))",,,,,,,,
way,210207869,"[2203084672, 2203084666, 2203084697, 2203084702, 2203084672]",Хрящёвка,3,,Новая улица,yes,,,,,"POLYGON ((49.0967541 53.807327, 49.0964918 53.807323, 49.0964871 53.8074322, 49.0967494 53.8074361, 49.0967541 53.807327))",,,,,,,,
way,210207870,"[2203086767, 2203086765, 2203086812, 2203086814, 2203086767]",,,,,yes,,,,,"POLYGON ((49.0888305 53.817283, 49.0886562 53.8172812, 49.0886527 53.8174008, 49.088827 53.8174026, 49.0888305 53.817283))",,,,,,,,
way,210207871,"[2203085827, 2203085829, 2203085872, 2203085870, 2203085827]",,29,,Советская улица,yes,,,,,"POLYGON ((49.0828951 53.814437, 49.0827972 53.8144392, 49.0828031 53.814531, 49.082901 53.8145288, 49.0828951 53.814437))",,,,,,,,
way,210207872,"[2203084559, 2203084560, 2203084579, 2203084578, 2203084559]",,,,,yes,,,,,"POLYGON ((49.0945638 53.8062003, 49.0943588 53.8062038, 49.0943646 53.8063197, 49.0945696 53.8063161, 49.0945638 53.8062003))",,,,,,,,
way,210207873,"[2203084808, 2203084809, 2203084813, 2203084812, 2203084808]",,,,,yes,,,,,"POLYGON ((49.092741 53.8083905, 49.0925877 53.8083919, 49.09259 53.8084796, 49.0927433 53.8084782, 49.092741 53.8083905))",,,,,,,,
way,210207874,"[2203086652, 2203086650, 2203086659, 2203086661, 2203086652]",,,,,yes,,,,,"POLYGON ((49.0793919 53.8169305, 49.0792422 53.8169278, 49.0792393 53.8169837, 49.079389 53.8169864, 49.0793919 53.8169305))",,,,,,,,
way,210207875,"[2203086521, 2203086520, 2203086569, 2203086571, 2203086521]",,,,,yes,,,,,"POLYGON ((49.0862336 53.8165653, 49.0860294 53.8165643, 49.0860277 53.8166754, 49.086232 53.8166765, 49.0862336 53.8165653))",,,,,,,,
way,210207876,"[2203085574, 2203085575, 2203085578, 2203085577, 2203085574]",Хрящёвка,54,,Школьная улица,yes,,,,,"POLYGON ((49.0829158 53.8127981, 49.0827907 53.8128, 49.082793 53.812853, 49.0829181 53.8128511, 49.0829158 53.8127981))",,,,,,,,
way,210207877,"[2203085455, 2203085452, 2203085496, 2203085497, 2203085455]",,,,,yes,,,,,"POLYGON ((49.0908258 53.8120934, 49.0906796 53.8120903, 49.0906727 53.8122027, 49.0908188 53.8122059, 49.0908258 53.8120934))",,,,,,,,
way,210207878,"[2203086101, 2203086100, 2203086123, 2203086124, 2203086101]",,,,,yes,,,,,"POLYGON ((49.0855922 53.8153073, 49.0853721 53.815306, 49.0853701 53.8154225, 49.0855902 53.8154239, 49.0855922 53.8153073))",,,,,,,,
way,210207879,"[2203084826, 2203084827, 2203084843, 2203084840, 2203084826]",,,,,yes,,,,,"POLYGON ((49.0927434 53.8086707, 49.0925853 53.8086721, 49.092587 53.8087397, 49.0927452 53.8087383, 49.0927434 53.8086707))",,,,,,,,
way,210207880,"[2203086761, 2203086760, 2203086816, 2203086817, 2203086761]",Хрящевка,20,445146,Первомайская улица,yes,,,,,"POLYGON ((49.0879009 53.8172758, 49.0877108 53.8172737, 49.0877065 53.8174099, 49.0878967 53.8174119, 49.0879009 53.8172758))",,1,,,,,,
way,210207881,"[2203084680, 2203084679, 2203084708, 2203084709, 2203084680]",Хрящёвка,79,,Лесная улица,yes,,,,,"POLYGON ((49.0993801 53.8073548, 49.0992292 53.8073536, 49.0992266 53.8074618, 49.0993775 53.807463, 49.0993801 53.8073548))",,,,,,,,
way,210207882,"[2203084742, 2203084741, 2203084760, 2203084762, 2203084742]",Хрящёвка,10,,Новая улица,yes,,,,,"POLYGON ((49.095487 53.8077686, 49.0951979 53.8077667, 49.0951966 53.8078325, 49.0954858 53.8078344, 49.095487 53.8077686))",,,,,,,,
way,210207883,"[2203085507, 2203085509, 2203085525, 2203085524, 2203085507]",Хрящёвка,49,,Школьная улица,yes,,,,,"POLYGON ((49.0822669 53.8122832, 49.0821032 53.8122863, 49.0821096 53.8124038, 49.0822733 53.8124006, 49.0822669 53.8122832))",,,,,,,,
way,210207884,"[2203085479, 2203085476, 2203085493, 2203085494, 2203085479]",,,,,yes,,,,,"POLYGON ((49.0890842 53.8121445, 49.0889466 53.8121415, 49.0889435 53.8121909, 49.0890811 53.8121939, 49.0890842 53.8121445))",,,,,,,,
way,210207885,"[2203085438, 2203085436, 2203085475, 2203085477, 2203085438]",,,,,yes,,,,,"POLYGON ((49.0867485 53.812046, 49.0866416 53.812044, 49.0866365 53.8121403, 49.0867434 53.8121422, 49.0867485 53.812046))",,,,,,,,
way,210207886,"[2203085162, 2203085160, 2203085157, 2203085198, 2203085200, 2203085162]",,,,,yes,,,,,"POLYGON ((49.09721 53.8107701, 49.0970441 53.8107665, 49.0966849 53.8107588, 49.0966797 53.8108437, 49.0972047 53.810855, 49.09721 53.8107701))",,,,,,,,
way,210207887,"[2203086116, 2203086125, 2203086126, 2203086145, 2203086150, 2203086117, 2203086116]",,,,,yes,,,,,"POLYGON ((49.0859912 53.815371, 49.0859868 53.8154367, 49.0860767 53.8154388, 49.0860686 53.8155603, 49.0861818 53.8155629, 49.0861943 53.8153757, 49.0859912 53.815371))",,,,,,,,
way,210207888,"[2203085439, 2203085440, 2203085450, 2203085451, 2203085480, 2203085478, 2203085439]",,,,,yes,,,,,"POLYGON ((49.0878823 53.8120535, 49.0877705 53.8120562, 49.0877725 53.8120853, 49.0877234 53.8120865, 49.0877277 53.8121473, 49.0878887 53.8121433, 49.0878823 53.8120535))",,,,,,,,
way,210207889,"[2203085840, 2203085839, 2203085867, 2203085868, 2203085884, 2203085885, 2203085840]",,,,,yes,,,,,"POLYGON ((49.0869791 53.8144741, 49.0868008 53.8144741, 49.0868008 53.814524, 49.0868692 53.814524, 49.0868692 53.8145681, 49.0869791 53.8145681, 49.0869791 53.8144741))",,,,,,,,
way,210207890,"[2203085963, 2203085962, 2203085946, 2203085945, 2203086005, 2203086006, 2203085963]",Хрящёвка,34,,Советская улица,yes,,,,,"POLYGON ((49.0823113 53.8149051, 49.0822259 53.8149051, 49.0822259 53.8148384, 49.082138 53.8148384, 49.082138 53.8149841, 49.0823113 53.8149841, 49.0823113 53.8149051))",,,,,,,,
way,210207891,"[2203086476, 2203086472, 2203086522, 2203086526, 2203086560, 2203086562, 2203086531, 2203086476]",,,,,yes,,,,,"POLYGON ((49.0802383 53.8164641, 49.0799999 53.8164589, 49.0799926 53.8165767, 49.0800979 53.816579, 49.080095 53.8166261, 49.080228 53.816629, 49.080231 53.8165817, 49.0802383 53.8164641))",,,,,,,,
way,210207892,"[2203085934, 2203085935, 2203085982, 2203085981, 2203085980, 2203085958, 2203085959, 2203085934]",Хрящёвка,32,,,yes,,,,,"POLYGON ((49.0796231 53.8147977, 49.079398 53.8147992, 49.079401 53.8149452, 49.0796256 53.8149436, 49.0796693 53.8149433, 49.0796682 53.8148888, 49.079625 53.8148891, 49.0796231 53.8147977))",,,,,,,,
way,210207893,"[2203084767, 2203084766, 2203084773, 2203084772, 2203084778, 2203084779, 2203084780, 2203084767]",Хрящёвка,32,,улица Ленина,yes,,,,,"POLYGON ((49.0901037 53.8078498, 49.089889 53.8078451, 49.0898852 53.8079055, 49.0897949 53.8079036, 49.0897909 53.8079679, 49.0898785 53.8079698, 49.0900959 53.8079745, 49.0901037 53.8078498))",,,,,,,,
way,210207894,"[2203086716, 2203086714, 2203086728, 2203086726, 2203086764, 2203086766, 2203086743, 2203086730, 2203086716]",,,,,yes,,,,,"POLYGON ((49.0921479 53.8171071, 49.0919427 53.8171062, 49.0919419 53.8171687, 49.0918436 53.8171683, 49.0918421 53.8172804, 49.0922075 53.8172822, 49.0922089 53.8171842, 49.0921469 53.8171839, 49.0921479 53.8171071))",,,,,,,,
way,210207895,"[2203084916, 2203084915, 2203084931, 2203084930, 2203084944, 2203084945, 2203084955, 2203084956, 2203084916]",,,445146,Полевая улица,yes,,,,,"POLYGON ((49.0924163 53.8092099, 49.0922333 53.8092066, 49.0922253 53.8093634, 49.0921783 53.8093626, 49.0921721 53.8094846, 49.092219 53.8094854, 49.0922108 53.8096445, 49.0923939 53.8096478, 49.0924163 53.8092099))",,,,,,,,
way,210207896,"[2203086144, 2203086153, 2203086154, 2203086181, 2203086180, 2203086185, 2203086184, 2203086143, 2203086144]",,,,,yes,,,,,"POLYGON ((49.0854958 53.8155448, 49.0854937 53.8155754, 49.085585 53.8155777, 49.0855766 53.8156981, 49.0854888 53.815696, 49.0854869 53.815723, 49.0853465 53.8157196, 49.085359 53.8155414, 49.0854958 53.8155448))",,,,,,,,
way,211243092,"[2212630331, 2212630363, 2212630364, 2212630358, 2212630359, 2212630353, 2212630352, 2212630342, 2212630341, 2212630333, 2212630331]",,,,,yes,,,,,"POLYGON ((49.1031893 53.7981363, 49.1031986 53.7989595, 49.1028776 53.7989608, 49.1028759 53.7988158, 49.1025071 53.7988173, 49.1025058 53.798705, 49.1027812 53.7987039, 49.1027778 53.7984065, 49.1028552 53.7984062, 49.1028521 53.7981377, 49.1031893 53.7981363))",,,,,,,,
way,211243093,"[2212632458, 2212632437, 2212632451, 2212632466, 2212632495, 2212632501, 2212632507, 2212632504, 2212632491, 2212632469, 2212632458]",,,,,yes,,,,,"POLYGON ((49.0798081 53.8083696, 49.0797421 53.808352, 49.0796886 53.808363, 49.0796603 53.8083862, 49.0796646 53.8084264, 49.0796935 53.8084459, 49.0797379 53.8084547, 49.0797823 53.808449, 49.0798203 53.8084263, 49.0798266 53.8083904, 49.0798081 53.8083696))",,,,,,,,
way,211243094,"[2212630254, 2212630252, 2212630263, 2212630262, 2212630253, 2212630251, 2212630260, 2212630261, 2212630277, 2212630279, 2212630254]",,,,,yes,,,,,"POLYGON ((49.1002006 53.7966206, 49.1000812 53.7966191, 49.1000781 53.7967047, 49.1000232 53.796704, 49.1000263 53.7966198, 49.0998161 53.7966171, 49.0998134 53.7966926, 49.0999893 53.7966948, 49.0999745 53.7971038, 49.100183 53.7971064, 49.1002006 53.7966206))",,,,,,,,
way,211243095,"[2212630162, 2212630172, 2212630185, 2212630187, 2212630199, 2212630201, 2212630215, 2212630213, 2212630205, 2212630203, 2212630223, 2212630221, 2212630219, 2212630217, 2212630195, 2212630196, 2212630193, 2212630194, 2212630179, 2212630181, 2212630188, 2212630189, 2212630170, 2212630160, 2212630162]",,,,,yes,,,,,"POLYGON ((49.101342 53.7955265, 49.1013419 53.79555, 49.1013418 53.7956072, 49.1014296 53.7956072, 49.1014293 53.7957425, 49.1015081 53.7957426, 49.1015079 53.795834, 49.1012927 53.7958339, 49.1012928 53.7957552, 49.1011111 53.7957551, 49.1011109 53.7958567, 49.100908 53.7958566, 49.1009081 53.7958373, 49.1008638 53.7958373, 49.100864 53.7957368, 49.1009236 53.7957368, 49.1009236 53.7957039, 49.1009677 53.7957039, 49.1009679 53.795582, 49.1010742 53.7955821, 49.1010742 53.7956149, 49.101165 53.795615, 49.1011651 53.7955497, 49.1011651 53.7955264, 49.101342 53.7955265))",,,,,,,,
way,211243096,"[2212632169, 2212632173, 2212632190, 2212632188, 2212632169]",,,,,yes,,,,,"POLYGON ((49.0823837 53.8069092, 49.0821691 53.8069137, 49.0821729 53.8069786, 49.0823875 53.8069742, 49.0823837 53.8069092))",,,,,,,,
way,211243097,"[2212632932, 2212632933, 2212632944, 2212632943, 2212632932]",,,,,yes,,,,,"POLYGON ((49.0856848 53.8099748, 49.0855384 53.8099762, 49.0855404 53.8100452, 49.0856867 53.8100438, 49.0856848 53.8099748))",,,,,,,,
way,211243099,"[2212632792, 2212632791, 2212632827, 2212632828, 2212632792]",,,,,yes,,,,,"POLYGON ((49.0872662 53.8090048, 49.0871835 53.8090042, 49.0871818 53.8090877, 49.0872645 53.8090883, 49.0872662 53.8090048))",,,,,,,,
way,211243101,"[2212632990, 2212632991, 2212632998, 2212632997, 2212632990]",,,,,yes,,,,,"POLYGON ((49.0829155 53.8104021, 49.0828228 53.8104035, 49.0828252 53.8104568, 49.0829178 53.8104553, 49.0829155 53.8104021))",,,,,,,,
way,211243102,"[2212631702, 2212631705, 2212631735, 2212631733, 2212631702]",,,,,yes,,,,,"POLYGON ((49.0912261 53.8057771, 49.091059 53.8057788, 49.0910612 53.8058561, 49.0912283 53.8058545, 49.0912261 53.8057771))",,,,,,,,
way,211243104,"[2212631531, 2212631533, 2212631546, 2212631544, 2212631531]",,,,,yes,,,,,"POLYGON ((49.0935041 53.8050107, 49.0933643 53.8050153, 49.0933684 53.8050583, 49.0935082 53.8050537, 49.0935041 53.8050107))",,,,,,,,
way,211243106,"[2212631021, 2212631020, 2212631050, 2212631051, 2212631021]",,,,,yes,,,,,"POLYGON ((49.0912957 53.802935, 49.0911147 53.802935, 49.0911147 53.8030238, 49.0912957 53.8030238, 49.0912957 53.802935))",,,,,,,,
way,211243107,"[2212631161, 2212631180, 2212631179, 2212631160, 2212631161]",,,,,yes,,,,,"POLYGON ((49.0827633 53.8032824, 49.0827641 53.8033449, 49.0831206 53.8033433, 49.0831198 53.8032808, 49.0827633 53.8032824))",,,,,,,,
way,211243109,"[2212630816, 2212630815, 2212630864, 2212630866, 2212630816]",,,,,yes,,,,,"POLYGON ((49.0891817 53.8023792, 49.0890005 53.8023746, 49.088991 53.8025037, 49.0891722 53.8025083, 49.0891817 53.8023792))",,,,,,,,
way,211243111,"[2212632273, 2212632275, 2212632286, 2212632285, 2212632273]",,,,,yes,,,,,"POLYGON ((49.0857403 53.8075469, 49.0855833 53.807549, 49.0855863 53.8076281, 49.0857433 53.807626, 49.0857403 53.8075469))",,,,,,,,
way,211243113,"[2212631301, 2212631300, 2212631308, 2212631309, 2212631301]",Хрящёвка,3,,Набережная улица,yes,,,,,"POLYGON ((49.0796102 53.8039769, 49.0793707 53.8039753, 49.0793695 53.8040395, 49.079609 53.8040411, 49.0796102 53.8039769))",,,,,,,,
way,211243115,"[2212630834, 2212630838, 2212630858, 2212630856, 2212630834]",,,,,yes,,,,,"POLYGON ((49.0824269 53.8024097, 49.0822713 53.8024108, 49.0822729 53.8024865, 49.0824285 53.8024853, 49.0824269 53.8024097))",,,,,,,,
way,211243117,"[2212631690, 2212631713, 2212631716, 2212631693, 2212631690]",Хрящёвка,21,,улица Ленина,yes,,,,,"POLYGON ((49.0892397 53.8057591, 49.0892319 53.8058023, 49.0893244 53.8058081, 49.0893322 53.8057649, 49.0892397 53.8057591))",,,,,,,,
way,211243119,"[2212631838, 2212631950, 2212631951, 2212631839, 2212631838]",,,,,yes,,,,,"POLYGON ((49.0840763 53.8060474, 49.08406 53.8061833, 49.0842347 53.8061906, 49.084251 53.8060547, 49.0840763 53.8060474))",,,,,,,,
way,211243121,"[2212631661, 2212631696, 2212631704, 2212631665, 2212631661]",Хрящёвка,23А,,улица Калинина,yes,,,,,"POLYGON ((49.0821115 53.8056875, 49.0821034 53.8057699, 49.0823375 53.8057779, 49.0823456 53.8056956, 49.0821115 53.8056875))",,,,,,,,
way,211243122,"[2212631809, 2212631807, 2212631908, 2212631910, 2212631809]",,,,,yes,,,,,"POLYGON ((49.0811659 53.806028, 49.0810286 53.8060265, 49.0810247 53.8061531, 49.081162 53.8061546, 49.0811659 53.806028))",,,,,,,,
way,211243124,"[2212631318, 2212631317, 2212631335, 2212631336, 2212631318]",Хрящёвка,8,,улица Ленина,yes,,,,,"POLYGON ((49.090282 53.8040781, 49.0901093 53.8040765, 49.0901069 53.8041633, 49.0902796 53.804165, 49.090282 53.8040781))",,,,,,,,
way,211243126,"[2212631508, 2212631507, 2212631540, 2212631541, 2212631508]",,,,,yes,,,,,"POLYGON ((49.097412 53.8049074, 49.0972365 53.8049074, 49.0972365 53.8050407, 49.097412 53.8050407, 49.097412 53.8049074))",,,,,,,,
way,211243128,"[2212632771, 2212632769, 2212632799, 2212632800, 2212632771]",,,,,yes,,,,,"POLYGON ((49.0834092 53.8089305, 49.083292 53.8089305, 49.083292 53.8090201, 49.0834092 53.8090201, 49.0834092 53.8089305))",,,,,,,,
way,211243129,"[2212630667, 2212630669, 2212630678, 2212630677, 2212630667]",,,,,yes,,,,,"POLYGON ((49.0963055 53.8019018, 49.0960889 53.8019065, 49.0960924 53.8019628, 49.096309 53.8019582, 49.0963055 53.8019018))",,,,,,,,
way,211243130,"[2212632896, 2212632895, 2212632904, 2212632905, 2212632896]",,,,,yes,,,,,"POLYGON ((49.0795395 53.8096732, 49.0793963 53.8096722, 49.0793953 53.809723, 49.0795384 53.809724, 49.0795395 53.8096732))",,,,,,,,
way,211243134,"[2212632115, 2212632119, 2212632151, 2212632149, 2212632115]",,,,,yes,,,,,"POLYGON ((49.0805345 53.8067574, 49.0803924 53.8067584, 49.0803949 53.8068939, 49.080537 53.806893, 49.0805345 53.8067574))",,,,,,,,
way,211243136,"[2212631655, 2212631654, 2212631698, 2212631699, 2212631655]",Хрящёвка,,,улица Калинина,yes,,,,,"POLYGON ((49.0830298 53.8056293, 49.0828909 53.8056284, 49.0828882 53.8057747, 49.0830271 53.8057756, 49.0830298 53.8056293))",,,,,,,,
way,211243138,"[2212633040, 2212633041, 2212633055, 2212633054, 2212633040]",Хрящёвка,42,,улица Куйбышева,yes,,,,,"POLYGON ((49.0863237 53.8108553, 49.0861433 53.8108567, 49.0861448 53.810923, 49.0863253 53.8109216, 49.0863237 53.8108553))",,,,,,,,
way,211243139,"[2212631063, 2212631062, 2212631096, 2212631097, 2212631063]",,,,,yes,,,,,"POLYGON ((49.0902569 53.80306, 49.0901232 53.8030584, 49.0901208 53.8031253, 49.0902545 53.803127, 49.0902569 53.80306))",,,,,,,,
way,211243141,"[2212631138, 2212631177, 2212631176, 2212631136, 2212631138]",,,,,yes,,,,,"POLYGON ((49.0926614 53.8032078, 49.0926652 53.8033375, 49.0928917 53.8033352, 49.0928879 53.8032055, 49.0926614 53.8032078))",,,,,,,,
way,211243143,"[2212631250, 2212631252, 2212631284, 2212631283, 2212631250]",,,,,yes,,,,,"POLYGON ((49.0981134 53.8037042, 49.0979165 53.8037054, 49.097919 53.8038508, 49.0981159 53.8038496, 49.0981134 53.8037042))",,,,,,,,
way,211243145,"[2212632981, 2212632980, 2212632985, 2212632986, 2212632981]",,,,,yes,,,,,"POLYGON ((49.0795722 53.8103187, 49.079405 53.8103167, 49.0794026 53.8103836, 49.0795699 53.8103856, 49.0795722 53.8103187))",,,,,,,,
way,211243147,"[2212632232, 2212632233, 2212632254, 2212632253, 2212632232]",,,,,yes,,,,,"POLYGON ((49.0832098 53.8072364, 49.0830139 53.8072374, 49.0830165 53.8074061, 49.0832124 53.807405, 49.0832098 53.8072364))",,,,,,,,
way,211243148,"[2212633049, 2212633050, 2212633066, 2212633064, 2212633049]",,,,,yes,,,,,"POLYGON ((49.0855092 53.8109078, 49.0853287 53.8109092, 49.0853311 53.8110142, 49.0855116 53.8110128, 49.0855092 53.8109078))",,,,,,,,
way,211243150,"[2212632879, 2212632878, 2212632898, 2212632899, 2212632879]",Хрящёвка,39-41,,улица Ленина,yes,,,,,"POLYGON ((49.0889596 53.8095735, 49.0887744 53.8095698, 49.088767 53.8096965, 49.0889523 53.8097002, 49.0889596 53.8095735))",,,,,,,,
way,211243152,"[2212632239, 2212632242, 2212632248, 2212632247, 2212632239]",,,,,yes,,,,,"POLYGON ((49.085735 53.8072802, 49.0856133 53.8072833, 49.0856196 53.8073689, 49.0857413 53.8073658, 49.085735 53.8072802))",,,,,,,,
way,211243154,"[2212631425, 2212631423, 2212631464, 2212631465, 2212631425]",,,,,yes,,,,,"POLYGON ((49.0962339 53.8045505, 49.0960526 53.8045483, 49.096047 53.8047079, 49.0962283 53.8047101, 49.0962339 53.8045505))",,,,,,,,
way,211243155,"[2212632865, 2212632864, 2212632882, 2212632885, 2212632865]",,,,,yes,,,,,"POLYGON ((49.0830032 53.8094734, 49.0828082 53.8094719, 49.0828054 53.8096043, 49.0830004 53.8096057, 49.0830032 53.8094734))",,,,,,,,
way,211243157,"[2212630930, 2212630929, 2212630972, 2212630973, 2212630930]",Хрящёвка,10,,улица Степана Разина,yes,,,,,"POLYGON ((49.0819688 53.8026596, 49.0818056 53.8026576, 49.0818014 53.8027768, 49.0819646 53.8027788, 49.0819688 53.8026596))",,,,,,,,
way,211243159,"[2212633179, 2212633172, 2212633249, 2212633263, 2212633179]",,,,,yes,,,,,"POLYGON ((49.0867501 53.8116776, 49.0866479 53.8116757, 49.086643 53.8117678, 49.0867452 53.8117697, 49.0867501 53.8116776))",,,,,,,,
way,211243160,"[2212630250, 2212630256, 2212630283, 2212630280, 2212630250]",,,,,yes,,,,,"POLYGON ((49.099352 53.7965893, 49.0988936 53.7966325, 49.0990409 53.7971778, 49.0994993 53.7971346, 49.099352 53.7965893))",,,,,,,,
way,211243161,"[2212630959, 2212630958, 2212630995, 2212630996, 2212630959]",,,,,yes,,,,,"POLYGON ((49.0963173 53.8027299, 49.096148 53.8027299, 49.096148 53.8028392, 49.0963173 53.8028392, 49.0963173 53.8027299))",,,,,,,,
way,211243162,"[2212630934, 2212630981, 2212630982, 2212630936, 2212630934]",Хрящёвка,18,,улица Степана Разина,yes,,,,,"POLYGON ((49.0838362 53.8026745, 49.083831 53.8028058, 49.0840004 53.8028081, 49.0840056 53.8026768, 49.0838362 53.8026745))",,,,,,,,
way,211243163,"[2212633121, 2212633120, 2212633155, 2212633156, 2212633121]",,,,,yes,,,,,"POLYGON ((49.0799447 53.8115364, 49.079831 53.8115352, 49.0798275 53.8116482, 49.0799412 53.8116495, 49.0799447 53.8115364))",,,,,,,,
way,211243165,"[2212632807, 2212632806, 2212632822, 2212632825, 2212632807]",,,,,yes,,,,,"POLYGON ((49.0814554 53.8090397, 49.0813139 53.8090368, 49.0813119 53.8090712, 49.0814534 53.8090741, 49.0814554 53.8090397))",,,,,,,,
way,211243166,"[2212630082, 2212630080, 2212630126, 2212630128, 2212630082]",,,,,yes,,,,,"POLYGON ((49.1001616 53.7946785, 49.0997646 53.7946769, 49.0997569 53.7953843, 49.1001538 53.7953858, 49.1001616 53.7946785))",,,,,,,,
way,211243167,"[2212631091, 2212631092, 2212631145, 2212631144, 2212631091]",Хрящёвка,25,,улица Степана Разина,yes,,,,,"POLYGON ((49.0868822 53.8031085, 49.0867365 53.8031097, 49.0867391 53.8032248, 49.0868848 53.8032236, 49.0868822 53.8031085))",,,,,,,,
way,211243171,"[2212630824, 2212630822, 2212630871, 2212630873, 2212630824]",,,,,yes,,,,,"POLYGON ((49.0877992 53.802392, 49.0876253 53.8023875, 49.0876155 53.8025189, 49.0877893 53.8025234, 49.0877992 53.802392))",,,,,,,,
way,211243172,"[2212633331, 2212633329, 2212633350, 2212633353, 2212633331]",Хрящёвка,26,,улица Кирова,yes,,,,,"POLYGON ((49.0814217 53.8119676, 49.0813096 53.8119661, 49.0813062 53.8120557, 49.0814182 53.8120572, 49.0814217 53.8119676))",,,,,,,,
way,211243173,"[2212631365, 2212631366, 2212631385, 2212631384, 2212631365]",,,,,yes,,,,,"POLYGON ((49.0935415 53.8042466, 49.0933761 53.8042489, 49.0933798 53.8043417, 49.0935453 53.8043394, 49.0935415 53.8042466))",,,,,,,,
way,211243174,"[2212631686, 2212631685, 2212631750, 2212631754, 2212631686]",Хрящёвка,1,,улица Калинина,yes,,,,,"POLYGON ((49.0972421 53.8057512, 49.0970332 53.8057446, 49.0970217 53.8058721, 49.0972306 53.8058787, 49.0972421 53.8057512))",,,,,,,,
