element_type,osmid,nodes,addr:city,addr:housenumber,addr:postcode,addr:street,building,denomination,name,religion,website,geometry,layer,building:levels,shop,man_made,tourism,ways,type,amenity
way,209723433,"[2199162553, 2199162559, 2199162565, 2199162566, 2199162568, 2199162554, 2199162553]",,,,,yes,,,,,"POLYGON ((49.106576 53.8144678, 49.1065736 53.8144839, 49.1065653 53.8145391, 49.1065893 53.8145403, 49.106663 53.8145442, 49.1066738 53.8144729, 49.106576 53.8144678))",,,,,,,,
way,209723434,"[2199162559, 2199162558, 2199162556, 2199162570, 2199162571, 2199162572, 2199162566, 2199162565, 2199162559]",,,,,roof,,,,,"POLYGON ((49.1065736 53.8144839, 49.1064768 53.8144784, 49.1064231 53.8144757, 49.1063373 53.8145509, 49.1063936 53.8145533, 49.1065814 53.8145596, 49.1065893 53.8145403, 49.1065653 53.8145391, 49.1065736 53.8144839))",1,,,,,,,
way,209726453,"[2199191725, 2199191723, 2203085446, 2203085445, 2203085405, 2203085406, 2199191700, 2199191701, 2199191727, 2199191726, 2199191720, 2199191721, 2199191711, 2199191710, 2199191725]",,,,,yes,,,,,"POLYGON ((49.0954987 53.8122858, 49.0953051 53.812283, 49.0953135 53.8120779, 49.0952468 53.8120769, 49.0952528 53.8119304, 49.0953188 53.8119314, 49.0953233 53.8118216, 49.0960692 53.8118323, 49.0960503 53.8122941, 49.0957679 53.8122901, 49.0957714 53.812204, 49.0958641 53.8122053, 49.0958705 53.8120511, 49.0955085 53.8120459, 49.0954987 53.8122858))",,,,,,,,
way,209726454,"[2199191749, 2199191748, 2199191752, 2199191753, 2199191749]",,,,,yes,,,,,"POLYGON ((49.0943668 53.8130941, 49.0942676 53.8130941, 49.0942676 53.8131501, 49.0943668 53.8131501, 49.0943668 53.8130941))",,,,,,,,
way,209726455,"[2199191790, 2199191791, 2199191796, 2199191795, 2199191790]",,,,,yes,,,,,"POLYGON ((49.0950642 53.8137506, 49.0949077 53.8137542, 49.094911 53.8138048, 49.0950675 53.8138012, 49.0950642 53.8137506))",,,,,,,,
way,209726456,"[2199191741, 2199191740, 2199191750, 2199191751, 2199191741]",,,,,apartments,,,,,"POLYGON ((49.0933417 53.8127686, 49.0931408 53.8127664, 49.0931293 53.8131364, 49.0933302 53.8131386, 49.0933417 53.8127686))",,,,,,,,
way,209726457,"[2199191747, 2199191746, 2199191754, 2199191755, 2199191747]",,,,,yes,,,,,"POLYGON ((49.0942116 53.8129242, 49.0939273 53.8129178, 49.0939097 53.8131888, 49.0941941 53.8131952, 49.0942116 53.8129242))",,,,,,,,
way,209726458,"[2199191715, 2199191714, 2199191716, 2199191719, 2199191715]",,,,,yes,,,,,"POLYGON ((49.0971624 53.8120736, 49.0970531 53.8120724, 49.0970502 53.8121658, 49.0971595 53.812167, 49.0971624 53.8120736))",,,,,,,,
way,209726459,"[2199191825, 2199191824, 2199191848, 2199191851, 2199191825]",,,,,apartments,,,,,"POLYGON ((49.0942442 53.8141054, 49.0940433 53.8141032, 49.0940318 53.8144732, 49.0942327 53.8144754, 49.0942442 53.8141054))",,,,,,,,
way,209726460,"[2199191713, 2199191712, 2199191717, 2199191718, 2199191713]",,,,,yes,,,,,"POLYGON ((49.0966564 53.8120668, 49.0965502 53.8120658, 49.0965474 53.8121659, 49.0966536 53.812167, 49.0966564 53.8120668))",,,,,,,,
way,209726461,"[2199191759, 2199191758, 2199191774, 2199191776, 2199191759]",,,,,apartments,,,,,"POLYGON ((49.0933214 53.8132466, 49.0931205 53.8132444, 49.093109 53.8136144, 49.0933099 53.8136166, 49.0933214 53.8132466))",,,,,,,,
way,209726462,"[2199191843, 2199191842, 2199191873, 2199191874, 2199191843]",,,,,apartments,,,,,"POLYGON ((49.0932725 53.8143124, 49.0930717 53.8143103, 49.0930602 53.8146802, 49.093261 53.8146824, 49.0932725 53.8143124))",,,,,,,,
way,209726463,"[2199191867, 2199191875, 2199191876, 2199191868, 2199191867]",,,,,apartments,,,,,"POLYGON ((49.0935056 53.8145659, 49.0935009 53.814687, 49.0940068 53.8146938, 49.0940115 53.8145727, 49.0935056 53.8145659))",,,,,,,,
way,209726464,"[2199191877, 2199191879, 2199191880, 2199191878, 2199191877]",,,,,yes,,,,,"POLYGON ((49.0971908 53.8147492, 49.0971889 53.8148124, 49.0973499 53.8148141, 49.0973518 53.8147509, 49.0971908 53.8147492))",,,,,,,,
way,209726465,"[2199191757, 2199191756, 2199191762, 2199191763, 2199191757]",,,,,yes,,,,,"POLYGON ((49.0963174 53.8132215, 49.0961306 53.8132193, 49.096122 53.8134773, 49.0963088 53.8134795, 49.0963174 53.8132215))",,,,,,,,
way,209726466,"[2199191786, 2199191784, 2199191821, 2199191822, 2199191786]",,,,,apartments,,,,,"POLYGON ((49.0932984 53.8137218, 49.0930975 53.8137196, 49.093086 53.8140896, 49.0932869 53.8140918, 49.0932984 53.8137218))",,,,,,,,
way,209726467,"[2199191855, 2199191869, 2199191872, 2199191865, 2199191855]",,4,,Советская улица,apartments,,,,,"POLYGON ((49.0957391 53.8144845, 49.0957316 53.8145953, 49.0966687 53.8146174, 49.0966762 53.8145065, 49.0957391 53.8144845))",,,,,,,,
way,209726468,"[2199191777, 2199191775, 2199191787, 2199191788, 2199191777]",,,,,yes,,,,,"POLYGON ((49.0941007 53.8136199, 49.0934826 53.8136148, 49.0934798 53.8137335, 49.0940979 53.8137386, 49.0941007 53.8136199))",,,,,,,,
way,209726469,"[2199191853, 2199191870, 2199191871, 2199191863, 2199191853]",,3,,Советская улица,apartments,,,,,"POLYGON ((49.0944225 53.8144794, 49.0944164 53.8145974, 49.0953449 53.8146144, 49.095351 53.8144963, 49.0944225 53.8144794))",,,,,,,,
way,210207533,"[2203085646, 2203085662, 2203085663, 2203085660, 2203085661, 2203085649, 2203085648, 2203085643, 2203085642, 2203085647, 2203085646]",Хрящёвка,60,,Школьная улица,yes,,,,,"POLYGON ((49.0831438 53.813403, 49.0831468 53.8135255, 49.0829049 53.8135275, 49.0829043 53.8134997, 49.0828335 53.8135003, 49.0828314 53.8134123, 49.0829289 53.8134115, 49.0829284 53.8133888, 49.0830552 53.8133877, 49.0830556 53.8134038, 49.0831438 53.813403))",,,,,,,,
way,210207534,"[2203086030, 2203086027, 2203086059, 2203086062, 2203086074, 2203086075, 2203086063, 2203086065, 2203086037, 2203086036, 2203086025, 2203086021, 2203086030]",Хрящёвка,14,,Советская улица,yes,,,,,"POLYGON ((49.0873548 53.8150491, 49.0872541 53.8150475, 49.0872508 53.8151218, 49.0873426 53.8151232, 49.0873404 53.815172, 49.0874599 53.8151738, 49.0874621 53.815124, 49.087551 53.8151254, 49.087554 53.8150577, 49.087476 53.8150565, 49.087477 53.8150345, 49.0873555 53.8150326, 49.0873548 53.8150491))",,,,,,,,
way,210207535,"[2203086035, 2203086031, 2203086040, 2203086041, 2203086028, 2203086026, 2203086047, 2203086049, 2203086069, 2203086070, 2203086079, 2203086081, 2203086060, 2203086061, 2203086035]",Хрящёвка,16,,Советская улица,yes,,,,,"POLYGON ((49.0871333 53.8150535, 49.0870287 53.8150498, 49.0870187 53.8150631, 49.0869714 53.8150638, 49.0869515 53.8150476, 49.0868643 53.8150469, 49.0868643 53.8150836, 49.0868407 53.815091, 49.0868369 53.8151476, 49.0868693 53.8151505, 49.0868693 53.8152005, 49.0870959 53.8152035, 49.0870959 53.8151219, 49.0871333 53.8151226, 49.0871333 53.8150535))",,,,,,,,
way,210207536,"[2203085457, 2203085502, 2203085503, 2203085517, 2203085516, 2203085511, 2203085510, 2203085519, 2203085518, 2203085459, 2203085460, 2203085489, 2203085490, 2203085472, 2203085473, 2203085456, 2203085457]",Хрящёвка,24,,улица Кирова,yes,,,,,"POLYGON ((49.0844131 53.8120956, 49.084409 53.8122694, 49.0844616 53.8122698, 49.08446 53.8123368, 49.0842373 53.812335, 49.0842382 53.8122972, 49.0841934 53.8122968, 49.0841924 53.8123385, 49.0840169 53.812337, 49.0840223 53.8121062, 49.0841263 53.8121071, 49.0841246 53.8121817, 49.0842854 53.812183, 49.0842865 53.8121387, 49.0843223 53.812139, 49.0843233 53.8120949, 49.0844131 53.8120956))",,,,,,,,
way,210207537,"[2203086601, 2203086599, 2203086626, 2203086628, 2203086601]",,,,,yes,,,,,"POLYGON ((49.0827988 53.8167767, 49.0826769 53.8167758, 49.0826753 53.8168477, 49.0827972 53.8168486, 49.0827988 53.8167767))",,,,,,,,
way,210207538,"[2203086203, 2203086204, 2203086228, 2203086226, 2203086203]",,,,,yes,,,,,"POLYGON ((49.0794669 53.8158172, 49.0792967 53.8158199, 49.0792993 53.8158773, 49.0794695 53.8158746, 49.0794669 53.8158172))",,,,,,,,
way,210207539,"[2203085718, 2203085717, 2203085752, 2203085753, 2203085718]",Хрящёвка,31,,Набережная улица,yes,,,,,"POLYGON ((49.0795588 53.8138253, 49.0793406 53.8138234, 49.0793381 53.8139238, 49.0795563 53.8139257, 49.0795588 53.8138253))",,,,,,,,
way,210207540,"[2203085572, 2203085569, 2203085608, 2203085609, 2203085572]",,5,,Полевая улица,yes,,,,,"POLYGON ((49.0925119 53.8127728, 49.0923252 53.8127692, 49.0923055 53.8131262, 49.0924922 53.8131298, 49.0925119 53.8127728))",,,,,,,,
way,210207541,"[2203085223, 2203085222, 2203085242, 2203085247, 2203085223]",,,,,yes,,,,,"POLYGON ((49.0926169 53.8109588, 49.0924991 53.8109561, 49.0924923 53.811062, 49.0926101 53.8110647, 49.0926169 53.8109588))",,,,,,,,
way,210207542,"[2203084855, 2203084850, 2203084874, 2203084877, 2203084855]",Хрящевка,8,,улица Мира,yes,,,,,"POLYGON ((49.0968428 53.8087574, 49.0965965 53.8087492, 49.0965903 53.8088148, 49.0968365 53.8088231, 49.0968428 53.8087574))",,,,,,,,
way,210207543,"[2203085598, 2203085597, 2203085611, 2203085612, 2203085598]",,,,,yes,,,,,"POLYGON ((49.0856528 53.8130652, 49.0855244 53.8130652, 49.0855244 53.8131486, 49.0856528 53.8131486, 49.0856528 53.8130652))",,,,,,,,
way,210207544,"[2203084835, 2203084834, 2203084862, 2203084863, 2203084835]",Хрящевка,2,,улица Мира,yes,,,,,"POLYGON ((49.0940501 53.80873, 49.0937969 53.8087286, 49.0937961 53.8087821, 49.0940493 53.8087835, 49.0940501 53.80873))",,,,,,,,
way,210207545,"[2203084557, 2203084558, 2203084577, 2203084576, 2203084557]",,,,,yes,,,,,"POLYGON ((49.0938582 53.8061856, 49.093596 53.8061868, 49.0935974 53.8063039, 49.0938597 53.8063028, 49.0938582 53.8061856))",,,,,,,,
way,210207546,"[2203086008, 2203086007, 2203086038, 2203086039, 2203086008]",,,,,yes,,,,,"POLYGON ((49.0912502 53.8149881, 49.0911733 53.8149872, 49.0911708 53.8150622, 49.0912478 53.815063, 49.0912502 53.8149881))",,,,,,,,
way,210207547,"[2203084939, 2203084937, 2203084967, 2203084968, 2203084939]",,13,,улица Мира,yes,,,,,"POLYGON ((49.0944385 53.8094251, 49.094247 53.8094182, 49.0942094 53.8097794, 49.0944008 53.8097864, 49.0944385 53.8094251))",,,,,,,,
way,210207548,"[2203084734, 2203084735, 2203084753, 2203084752, 2203084734]",,,,,yes,,,,,"POLYGON ((49.0927872 53.8077497, 49.0926315 53.8077511, 49.0926331 53.8078101, 49.0927888 53.8078087, 49.0927872 53.8077497))",,,,,,,,
way,210207549,"[2203084669, 2203084663, 2203084689, 2203084692, 2203084669]",Хрящёвка,5,,Новая улица,yes,,,,,"POLYGON ((49.0961589 53.807325, 49.0959572 53.807319, 49.0959482 53.8074255, 49.0961499 53.8074314, 49.0961589 53.807325))",,,,,,,,
way,210207550,"[2203086082, 2203086080, 2203086096, 2203086099, 2203086082]",,,,,yes,,,,,"POLYGON ((49.0906576 53.8152071, 49.090521 53.8152021, 49.0905111 53.8152962, 49.0906476 53.8153012, 49.0906576 53.8152071))",,,,,,,,
way,210207551,"[2203085755, 2203085754, 2203085762, 2203085763, 2203085755]",,,,,yes,,,,,"POLYGON ((49.0856432 53.8139385, 49.085502 53.8139385, 49.085502 53.8139973, 49.0856432 53.8139973, 49.0856432 53.8139385))",,,,,,,,
way,210207552,"[2203086152, 2203086151, 2203086164, 2203086165, 2203086152]",,,,,yes,,,,,"POLYGON ((49.079485 53.8155694, 49.079299 53.8155694, 49.079299 53.8156404, 49.079485 53.8156404, 49.079485 53.8155694))",,,,,,,,
way,210207553,"[2203084556, 2203084555, 2203084573, 2203084575, 2203084556]",Хрящёвка,14А,,улица Калинина,yes,,,,,"POLYGON ((49.0916704 53.8061692, 49.0914562 53.8061677, 49.0914538 53.8062941, 49.0916679 53.8062955, 49.0916704 53.8061692))",,,,,,,,
way,210207554,"[2203085818, 2203085817, 2203085846, 2203085847, 2203085818]",,,,,yes,,,,,"POLYGON ((49.0798957 53.8143917, 49.0797834 53.8143917, 49.0797834 53.8144845, 49.0798957 53.8144845, 49.0798957 53.8143917))",,,,,,,,
way,210207555,"[2203085707, 2203085709, 2203085720, 2203085719, 2203085707]",,,,,yes,,,,,"POLYGON ((49.0897687 53.8137862, 49.0896455 53.8137889, 49.0896486 53.8138369, 49.0897717 53.8138341, 49.0897687 53.8137862))",,,,,,,,
way,210207556,"[2203085967, 2203085966, 2203086011, 2203086012, 2203085967]",Хрящёвка,30,,Советская улица,yes,,,,,"POLYGON ((49.082993 53.8149165, 49.0828922 53.8149149, 49.0828874 53.8150172, 49.0829881 53.8150188, 49.082993 53.8149165))",,,,,,,,
