element_type,osmid,geometry,ref,amenity,building,denomination,name,place_of_worship:type,ref:temples.ru,religion,start_date,building:levels,shop,tickets:suburban_train,addr:housenumber,addr:street,access,operator,wheelchair,historic,name:ru,addr:city,description,brand,brand:wikidata,brand:wikipedia,contact:phone,contact:website,opening_hours,operator:wikidata,operator:wikipedia,official_name,tourism,cuisine,takeaway,parking,capacity,fee,vending,man_made,nodes,addr:country,addr:postcode,roof:material,roof:shape,building:colour,roof:colour,height,brand:en,contact:email,contact:facebook,contact:instagram,contact:ok,contact:vk,delivery,internet_access,name:en,toilets,wheelchair:description:ru,building:flats,stars,abandoned,source,building:material,design:ref,phone,health_facility:type,healthcare,alt_name,emergency,addr:province,location,power,substation,office,building:part,telecom,website,health_specialty:microbiology,medical_system:western,health_specialty:gynaecology,provided_for:female,layer,government,start,note,pipeline,substance,smoking,addr:place,addr:housenumber1,addr:street1,roof:levels,health_specialty:emergency_medicine,service_times,fixme,building:use,leisure,sport,addr:district,dispensing,landuse,trade,health_specialty:addiction_medicine,check_date,ruins,outdoor_seating,brand:ru,diet:vegetarian,tower:type,service,building:levels:underground,energy_class,building:min_level,roof:direction,generator:method,generator:output:hot_water,generator:source,generator:type,name:uk,street_cabinet,contact:twitter,opening_date,disused,source:addr,construction,ways,type,public_transport,building:parts,education,education_form:fulltime,education_level:primary,education_level:secondary,education_profile:general,education_system:ru_standard
way,37574383,"POLYGON ((37.8689916 55.6805136, 37.8691541 55.6803228, 37.8689732 55.6802738, 37.8688106 55.6804646, 37.8689916 55.6805136))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356407, 440356409, 440356412, 440356413, 440356407]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574384,"POLYGON ((37.8692324 55.6803456, 37.8690355 55.680593, 37.8691212 55.6806147, 37.8693181 55.6803672, 37.8692324 55.6803456))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356416, 440356418, 440356422, 440356424, 440356416]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574385,"POLYGON ((37.8687177 55.6804419, 37.8688387 55.6802667, 37.8686533 55.680226, 37.8685323 55.6804012, 37.8687177 55.6804419))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356426, 440356428, 440356429, 440356431, 440356426]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574386,"POLYGON ((37.8685575 55.6802167, 37.8683106 55.6805806, 37.8684631 55.6806135, 37.8685693 55.6804571, 37.8686877 55.6804826, 37.8686762 55.6804995, 37.8687505 55.6805155, 37.8686138 55.6807171, 37.8671717 55.6804062, 37.8671331 55.680463, 37.8671049 55.6804569, 37.8670101 55.6804365, 37.8671517 55.6802278, 37.8672549 55.6802501, 37.8671926 55.680342, 37.8681978 55.6805587, 37.868446 55.6801926, 37.8685575 55.6802167))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356433, 440356435, 440356438, 440356440, 440356443, 440356445, 440356447, 440356449, 440356450, 440356452, 440356506, 440356453, 440356454, 7921484933, 7921484929, 7921484931, 7921484937, 440356433]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574387,"POLYGON ((37.8669352 55.6805586, 37.8669603 55.6805216, 37.8670482 55.6805406, 37.8671049 55.6804569, 37.8671331 55.680463, 37.8685442 55.6807672, 37.8684624 55.6808878, 37.8669352 55.6805586))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356461, 440356464, 440356498, 440356506, 440356452, 440356512, 440356515, 440356461]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574388,"POLYGON ((37.8684331 55.6809634, 37.8678211 55.6808297, 37.867784 55.6808837, 37.8683959 55.6810174, 37.8684331 55.6809634))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356519, 440356522, 440356525, 440356527, 440356519]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574389,"POLYGON ((37.8677167 55.6808043, 37.8668675 55.6806197, 37.866831 55.6806732, 37.8676801 55.6808578, 37.8677167 55.6808043))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356530, 440356532, 440356534, 440356536, 440356530]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574390,"POLYGON ((37.8650258 55.6794353, 37.8649413 55.6795511, 37.8671426 55.6800619, 37.867227 55.6799464, 37.8650258 55.6794353))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356538, 440356545, 440356543, 440356540, 440356538]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574391,"POLYGON ((37.8650908 55.6793359, 37.8675284 55.6799144, 37.867321 55.6801958, 37.8672095 55.6801694, 37.867377 55.6799446, 37.8650483 55.679393, 37.8650908 55.6793359))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[2694753146, 440356551, 7921484935, 440356557, 440356562, 440356564, 2694753146]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574392,"POLYGON ((37.8648502 55.6796764, 37.8649043 55.6796024, 37.8656185 55.6797682, 37.8652699 55.6802455, 37.8651671 55.6802216, 37.8654617 55.6798184, 37.8648502 55.6796764))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356568, 440356573, 440356575, 440356578, 440356581, 440356583, 440356568]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574393,"POLYGON ((37.8656885 55.679781, 37.8670986 55.6800834, 37.8667463 55.6806054, 37.866542 55.6805616, 37.8668431 55.6801154, 37.8667665 55.680099, 37.8664819 55.6805209, 37.8662988 55.6804817, 37.8665895 55.6800506, 37.866484 55.680028, 37.8662423 55.6803864, 37.866061 55.6803475, 37.8662725 55.680034, 37.8656132 55.6798926, 37.8656885 55.679781))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356585, 440356588, 440356590, 440356591, 440356593, 440356595, 440356599, 440356601, 440356603, 440356605, 440356607, 440356609, 440356611, 440356612, 440356585]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574394,"POLYGON ((37.8655068 55.6800876, 37.8660619 55.6802084, 37.8661566 55.6800703, 37.8656015 55.6799494, 37.8655068 55.6800876))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356615, 440356617, 440356619, 440356621, 440356615]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574395,"POLYGON ((37.8659454 55.6803715, 37.8660369 55.680237, 37.8654836 55.6801173, 37.8653921 55.6802518, 37.8659454 55.6803715))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356623, 440356629, 440356627, 440356625, 440356623]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574397,"POLYGON ((37.8648516 55.6797177, 37.8646358 55.6800292, 37.8648778 55.6800825, 37.8649857 55.6799267, 37.8650935 55.6797709, 37.8648516 55.6797177))",,,yes,,,,,,,,,,59А,3-е Почтовое отделение,,,,,,,,,,,,,,,,,,,,,,,,,"[440356639, 4719450725, 440356643, 7762349664, 440356645, 440356639]",,140008,,mansard,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574398,"POLYGON ((37.8641 55.6791868, 37.864728 55.6793295, 37.8649527 55.6793806, 37.8645985 55.6798759, 37.8634809 55.6796218, 37.8634688 55.6796386, 37.8633217 55.6796051, 37.8633378 55.6795826, 37.8632048 55.6795522, 37.8632857 55.6794396, 37.8634597 55.6794794, 37.8634544 55.6794868, 37.8635288 55.6795039, 37.8636395 55.6793509, 37.8633776 55.6792907, 37.8632981 55.6794005, 37.8629974 55.6793313, 37.8628576 55.6793444, 37.8626171 55.678828, 37.8628869 55.678795, 37.8638864 55.6790222, 37.863876 55.6790367, 37.864161 55.6791015, 37.8641 55.6791868))",,,garages,,ГСК «Бриз»,,,,,,,,100 с1,3-е Почтовое отделение,,,,,,,,,,,,,,,,,,,,,,,,,"[440356647, 7260775574, 440356650, 440356651, 440356658, 6980170038, 440356660, 440356662, 440356664, 7141313034, 7141313035, 7141313039, 7141313036, 7141313037, 7141313038, 440356668, 440356670, 440356672, 440356687, 440356689, 6980170037, 6980170036, 440356691, 440356647]",,,metal,,lightyellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574399,"POLYGON ((37.8634107 55.6803083, 37.8642488 55.6801644, 37.8642808 55.6802236, 37.86435 55.6802117, 37.8643688 55.6802464, 37.8634615 55.6804024, 37.8634107 55.6803083))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356692, 440356695, 440356697, 440356699, 440356701, 440356703, 440356692]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574400,"POLYGON ((37.8631417 55.6798278, 37.8634621 55.6797725, 37.8646693 55.6800535, 37.8646274 55.6801102, 37.8648824 55.680167, 37.8648379 55.6802239, 37.8637014 55.6799759, 37.8637475 55.6799177, 37.8634473 55.6798427, 37.8633677 55.6798576, 37.8633874 55.6798949, 37.8632281 55.6799222, 37.8632079 55.6798846, 37.8631745 55.6798904, 37.8631417 55.6798278))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356705, 440356707, 440356641, 440356709, 440356711, 440356713, 440356715, 440356717, 440356720, 4611949552, 4611949555, 440356722, 4611949548, 4611949549, 440356705]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574401,"POLYGON ((37.8637188 55.6800851, 37.8638433 55.6800617, 37.86387 55.6801168, 37.8639382 55.6801051, 37.8639619 55.6801686, 37.8637811 55.6802021, 37.8637188 55.6800851))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356723, 440356726, 440356728, 440356731, 440356733, 440356735, 440356723]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574402,"POLYGON ((37.8637979 55.6804039, 37.8638308 55.6804619, 37.8647648 55.680293, 37.8647318 55.6802351, 37.8637979 55.6804039))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356737, 440356743, 440356741, 440356739, 440356737]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574403,"POLYGON ((37.8634769 55.6804543, 37.8635164 55.6805232, 37.8636083 55.6805065, 37.8635688 55.6804376, 37.8634769 55.6804543))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440356747, 440356750, 440356749, 440356748, 440356747]",,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37574671,"POLYGON ((37.8664797 55.6730763, 37.8664436 55.6730804, 37.8664145 55.6729983, 37.866247 55.6730172, 37.866272 55.6730875, 37.8662207 55.6730933, 37.8662503 55.6731767, 37.866294 55.6731718, 37.8663205 55.6732466, 37.8665317 55.6732228, 37.8665092 55.6731595, 37.8664797 55.6730763))",,,yes,,,,,,,,,,27,Юбилейная улица,,,,,,,,,,,,,,,,,,,,,,,,,"[4719450718, 440361272, 440361273, 440361274, 440361275, 440361276, 440361277, 440361278, 440361279, 440361280, 440361281, 4719450718]",,140011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37575730,"POLYGON ((37.8794037 55.6739138, 37.8801111 55.6735476, 37.8833339 55.675472, 37.8826369 55.6758448, 37.8827867 55.6759354, 37.8824772 55.6760968, 37.879339 55.6741777, 37.8796072 55.6740388, 37.8794037 55.6739138))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,works,"[440381752, 440381753, 440381754, 440381757, 2331604734, 440381758, 440381759, 440381760, 440381752]",,,,,,8f8b8c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37575732,"POLYGON ((37.8818808 55.6766967, 37.8807862 55.676501, 37.880685 55.6766811, 37.8784666 55.6762845, 37.8785111 55.6762053, 37.8782596 55.6761604, 37.8783387 55.6760197, 37.8781971 55.6759944, 37.8783122 55.6757897, 37.8777536 55.6756898, 37.8779244 55.6753861, 37.8783927 55.6754698, 37.8784222 55.6754174, 37.8823661 55.6761225, 37.8821702 55.676471, 37.8820226 55.6764446, 37.8818808 55.6766967))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,works,"[440381761, 440381762, 440381763, 440381764, 440381765, 440381766, 440381767, 440381769, 440381770, 440381771, 440381772, 440381773, 440381774, 440381775, 440381776, 440381780, 440381761]",,,,,,8f8b8c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37575733,"POLYGON ((37.8778577 55.6741531, 37.87813 55.6742209, 37.8776204 55.6748715, 37.8773482 55.6748037, 37.8778577 55.6741531))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,works,"[440381781, 440381782, 440381784, 440381785, 440381781]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37575734,"POLYGON ((37.8778402 55.6748436, 37.8783286 55.6742866, 37.879426 55.6745926, 37.8793794 55.6746458, 37.8802128 55.6748781, 37.8800447 55.6750698, 37.8793951 55.6748887, 37.8793337 55.6749586, 37.8783617 55.6746876, 37.8781493 55.6749298, 37.8778402 55.6748436))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,works,"[440381786, 440381787, 440381788, 440381789, 440381791, 440381792, 440381794, 440381795, 440381797, 440381799, 440381786]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37575735,"POLYGON ((37.8790235 55.6752121, 37.879192 55.6750211, 37.8802646 55.675322, 37.8801337 55.6754703, 37.8797232 55.6753551, 37.8796856 55.6753978, 37.8790235 55.6752121))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,works,"[440381801, 440381802, 440381804, 440381806, 440381807, 440381809, 440381801]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37575736,"POLYGON ((37.878699 55.6754009, 37.878749 55.6753016, 37.8801004 55.6755184, 37.8800504 55.6756176, 37.878699 55.6754009))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,works,"[440381810, 440381811, 440381814, 440381815, 440381810]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37575737,"POLYGON ((37.8806178 55.6753362, 37.8810927 55.6754596, 37.8809956 55.6755784, 37.880608 55.6754776, 37.8805582 55.6755386, 37.8808226 55.6756073, 37.8807805 55.6756588, 37.8810635 55.6757323, 37.8809916 55.6758203, 37.880357 55.6756554, 37.8806178 55.6753362))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,works,"[440381816, 440381817, 440381818, 440381819, 440381821, 440381822, 440381824, 440381825, 440381827, 440381828, 440381816]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591897,"POLYGON ((37.8730462 55.6833595, 37.8735888 55.6837172, 37.8734405 55.6837841, 37.8730314 55.6835267, 37.8730462 55.6833595))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671864, 440671866, 440671868, 440671870, 440671864]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591898,"POLYGON ((37.873061 55.6836403, 37.8733279 55.6838192, 37.8731529 55.6838693, 37.8730521 55.6838092, 37.873061 55.6836403))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671871, 440671872, 440671874, 440671875, 440671871]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591899,"POLYGON ((37.8727564 55.683014, 37.8728404 55.6830116, 37.8728455 55.6830691, 37.8728775 55.6830682, 37.8728887 55.6831936, 37.872924 55.6831926, 37.8729908 55.6839414, 37.8728776 55.6839446, 37.872823 55.683332, 37.8727849 55.6833331, 37.8727564 55.683014))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671877, 440671878, 440671880, 440671881, 440671883, 440671885, 440671886, 440671887, 440671888, 440671898, 440671877]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591900,"POLYGON ((37.8714959 55.6833184, 37.8727026 55.6832834, 37.87277 55.6840216, 37.8726544 55.6840249, 37.8725927 55.6833479, 37.8715014 55.6833795, 37.8714959 55.6833184))",,,garages,,,,,,,,,,,,,,,,,Люберцы,,,,,,,,,,,,,,garage,,,,,"[440671900, 440671902, 440671904, 440671905, 440671907, 440671908, 440671900]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591901,"POLYGON ((37.8714646 55.6831196, 37.8726724 55.6830831, 37.8726842 55.6832074, 37.8714765 55.6832439, 37.8714646 55.6831196))",,,garages,,,,,,,,,,,,,,,,,Люберцы,,,,,,,,,,,,,,garage,,,,,"[440671909, 440671912, 440671913, 440671915, 440671909]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591902,"POLYGON ((37.8714525 55.6829276, 37.8728135 55.6828889, 37.8728196 55.6829568, 37.8727085 55.6829599, 37.872714 55.6830207, 37.871464 55.6830562, 37.8714525 55.6829276))",,,garages,,,,,,,,,,,,,,,,,Люберцы,,,,,,,,,,,,,,garage,,,,,"[440671917, 440671920, 440671921, 440671922, 440671925, 440671926, 440671917]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591903,"POLYGON ((37.8729231 55.6829987, 37.8729984 55.6830461, 37.8734509 55.6828177, 37.8733757 55.6827703, 37.8729231 55.6829987))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671929, 440671930, 440671931, 440671933, 440671929]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591904,"POLYGON ((37.8737274 55.682708, 37.87386 55.6827945, 37.8741885 55.6826344, 37.8740558 55.682548, 37.8737274 55.682708))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671934, 440671935, 440671938, 440671939, 440671934]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591905,"POLYGON ((37.8737121 55.68264, 37.8739812 55.6825076, 37.873852 55.6824241, 37.8736636 55.6825168, 37.8737183 55.6825522, 37.8736376 55.6825918, 37.8737121 55.68264))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671940, 440671941, 440671943, 440671945, 440671946, 440671947, 440671940]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591906,"POLYGON ((37.8735254 55.682591, 37.8736052 55.6825887, 37.873587 55.6823854, 37.8735072 55.6823877, 37.8735254 55.682591))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671949, 440671950, 440671951, 440671953, 440671949]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591907,"POLYGON ((37.8734942 55.6822807, 37.8736032 55.6822281, 37.8738257 55.6823748, 37.8737167 55.6824273, 37.8734942 55.6822807))",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671955, 440671957, 440671959, 440671960, 440671955]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591908,"POLYGON ((37.8768623 55.6819321, 37.8763559 55.6816116, 37.8764397 55.6815695, 37.8769462 55.68189, 37.8768623 55.6819321))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671962, 440671964, 440671965, 440671967, 440671962]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591909,"POLYGON ((37.8768467 55.6817629, 37.8768695 55.6817036, 37.8773086 55.6817574, 37.8772819 55.6818268, 37.8772169 55.6818188, 37.8772032 55.6818543, 37.8771399 55.6818465, 37.8771257 55.6818834, 37.8769987 55.6818679, 37.8770305 55.6817854, 37.8768467 55.6817629))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671968, 440671970, 440671972, 440671974, 440671975, 440671977, 440671979, 440671980, 440671982, 440671983, 440671968]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37591911,"POLYGON ((37.8769823 55.6814756, 37.876994 55.6814402, 37.8772896 55.6814713, 37.877505 55.6814728, 37.8775103 55.6815448, 37.8772642 55.6815482, 37.8769717 55.6815174, 37.8769501 55.6815824, 37.8773289 55.6816223, 37.8773062 55.6816907, 37.8766321 55.6816197, 37.8766401 55.6815956, 37.8765822 55.6815895, 37.8765953 55.68155, 37.8768328 55.681575, 37.8768697 55.6814638, 37.8769823 55.6814756))",,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garage,,,,,"[440671986, 440671987, 440671989, 440672007, 440672006, 440671991, 440671992, 440671994, 440671997, 440671998, 440671999, 440672000, 440672001, 440672003, 440672004, 440672005, 440671986]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37609601,"POLYGON ((37.8663068 55.6828531, 37.866067 55.682791, 37.8658967 55.6827469, 37.8659998 55.6826204, 37.8661257 55.6824659, 37.865524 55.68231, 37.8652796 55.6826099, 37.8656853 55.682715, 37.8654552 55.6829974, 37.8660614 55.6831544, 37.8663068 55.6828531))",,,apartments,,,,,,2008,25,,,65,3-е Почтовое отделение,,,,,,,,,,,,,,,,,,,,,,,,,"[440847698, 7762349654, 440847703, 7762349655, 440847702, 440847701, 440847699, 440847704, 440847696, 440847697, 440847698]",,140008,,,,8f8b8c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37609602,"POLYGON ((37.8653762 55.6835748, 37.8656263 55.6840037, 37.8663809 55.6838639, 37.8661308 55.683435, 37.8653762 55.6835748))",,,retail,,"ТК ""Городок""",,,,2007,2,convenience,,100,3-е Почтовое отделение,,,,,,,,,,,,,09:00-20:00,,,,,,,,,,,,"[440847705, 440847706, 440847708, 440847709, 440847705]",,140008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
