element_type,osmid,nodes,building,geometry,addr:housenumber,amenity,religion,addr:postcode,addr:street,ways,type
way,233480456,"[2418602264, 2418602262, 2418602256, 2418602261, 2418602264]",yes,"POLYGON ((30.1977868 47.3875297, 30.197857 47.3874125, 30.1973043 47.3872607, 30.1972341 47.3873778, 30.1977868 47.3875297))",,,,,,,
way,233480458,"[2418602263, 2418602265, 2418602259, 2418602257, 2418602263]",yes,"POLYGON ((30.1912629 47.3875191, 30.1914371 47.3875696, 30.1915697 47.3873601, 30.1913955 47.3873095, 30.1912629 47.3875191))",,,,,,,
way,233480460,"[2418601964, 2418601968, 2418601945, 2418601935, 2418601964]",yes,"POLYGON ((30.1945793 47.3827437, 30.1947249 47.3827839, 30.1948522 47.3825721, 30.1947066 47.382532, 30.1945793 47.3827437))",,,,,,,
way,233480462,"[2418602160, 2418602169, 2418602138, 2418602137, 2418602160]",yes,"POLYGON ((30.1903295 47.3853135, 30.1905688 47.3853714, 30.1907101 47.3851041, 30.1904708 47.3850461, 30.1903295 47.3853135))",,,,,,,
way,233480463,"[2418601821, 2418601818, 2418601817, 2418601819, 2418601821]",yes,"POLYGON ((30.192 47.3805398, 30.1922502 47.3802479, 30.1920985 47.3801883, 30.1918483 47.3804802, 30.192 47.3805398))",,,,,,,
way,233480464,"[2418602258, 2418602260, 2418602251, 2418602250, 2418602258]",yes,"POLYGON ((30.1892382 47.3873181, 30.1894256 47.3873607, 30.1895677 47.3870741, 30.1893803 47.3870315, 30.1892382 47.3873181))",,,,,,,
way,233480465,"[2418602236, 2418602229, 2418602224, 2418602227, 2418602236]",yes,"POLYGON ((30.1989552 47.386566, 30.1990329 47.3864569, 30.1984897 47.3862794, 30.198412 47.3863885, 30.1989552 47.386566))",,,,,,,
way,233480466,"[2418601815, 2418601811, 2418601809, 2418601814, 2418601815]",yes,"POLYGON ((30.1932163 47.3801072, 30.1933061 47.3800087, 30.1931153 47.3799289, 30.1930255 47.3800274, 30.1932163 47.3801072))",,,,,,,
way,233480467,"[2418602216, 2418602208, 2418602204, 2418602207, 2418602216]",yes,"POLYGON ((30.1919351 47.3860905, 30.192011 47.3859822, 30.1916446 47.3858645, 30.1915687 47.3859729, 30.1919351 47.3860905))",,,,,,,
way,233480468,"[2418601726, 2418601719, 2418601718, 2418601725, 2418601726]",yes,"POLYGON ((30.1928298 47.37331, 30.1930039 47.3728845, 30.192764 47.3728394, 30.1925898 47.373265, 30.1928298 47.37331))",,,,,,,
way,233480469,"[2418602062, 2418602066, 2418602048, 2418602045, 2418602062]",yes,"POLYGON ((30.1908626 47.3842171, 30.1910376 47.3842461, 30.1911273 47.3839977, 30.1909523 47.3839688, 30.1908626 47.3842171))",,,,,,,
way,233480470,"[2418601832, 2418601822, 2418601820, 2418601829, 2418601832]",yes,"POLYGON ((30.1932555 47.3808041, 30.1934498 47.3805727, 30.1933214 47.3805233, 30.1931271 47.3807547, 30.1932555 47.3808041))",,,,,,,
way,233480471,"[2418602223, 2418602225, 2418602217, 2418602214, 2418602223]",yes,"POLYGON ((30.1897344 47.386209, 30.1899391 47.3862552, 30.1900433 47.3860435, 30.1898386 47.3859973, 30.1897344 47.386209))",,,,,,,
way,233480472,"[2418602286, 2418602277, 2418602275, 2418602283, 2418602286]",yes,"POLYGON ((30.1990133 47.3898478, 30.1993292 47.3895976, 30.1992018 47.3895239, 30.198886 47.3897741, 30.1990133 47.3898478))",,,,,,,
way,233480473,"[2418601952, 2418601934, 2418601913, 2418601931, 2418601952]",yes,"POLYGON ((30.1860383 47.3826494, 30.1861056 47.3825705, 30.1858309 47.3824631, 30.1857636 47.382542, 30.1860383 47.3826494))",,,,,,,
way,233480474,"[2418601914, 2418601900, 2418601894, 2418601906, 2418601914]",yes,"POLYGON ((30.1886761 47.3824243, 30.1888414 47.3822852, 30.1887417 47.3822308, 30.1885764 47.38237, 30.1886761 47.3824243))",,,,,,,
way,233480475,"[2418602270, 2418602268, 2418602267, 2418602269, 2418602270]",yes,"POLYGON ((30.2001631 47.3890994, 30.2004158 47.3889903, 30.2003194 47.388888, 30.2000667 47.388997, 30.2001631 47.3890994))",,,,,,,
way,233480476,"[2418601713, 2418601715, 2418601711, 2418601710, 2418601713]",yes,"POLYGON ((30.1902347 47.3724921, 30.1905716 47.372528, 30.1906147 47.3723423, 30.1902778 47.3723064, 30.1902347 47.3724921))",,,,,,,
way,233480477,"[2418602164, 2418602177, 2418602165, 2418602153, 2418602164]",yes,"POLYGON ((30.1887867 47.3853348, 30.1892969 47.3854655, 30.189367 47.3853402, 30.1888568 47.3852094, 30.1887867 47.3853348))",,,,,,,
way,233480479,"[2418602242, 2418602244, 2418602233, 2418602230, 2418602242]",yes,"POLYGON ((30.1895003 47.3867963, 30.1896972 47.3868397, 30.189833 47.3865574, 30.1896362 47.386514, 30.1895003 47.3867963))",,,,,,,
way,233480480,"[2418602050, 2418602041, 2418602039, 2418602047, 2418602050]",yes,"POLYGON ((30.1900784 47.3840077, 30.1901669 47.3838195, 30.1900266 47.3837892, 30.1899381 47.3839774, 30.1900784 47.3840077))",,,,,,,
way,233480481,"[2418601853, 2418601848, 2418601847, 2418601849, 2418601853]",yes,"POLYGON ((30.1921472 47.3813759, 30.1922056 47.3812994, 30.1920224 47.3812352, 30.191964 47.3813117, 30.1921472 47.3813759))",,,,,,,
way,233480482,"[2418601984, 2418601972, 2418601963, 2418601974, 2418601984]",yes,"POLYGON ((30.1866972 47.3829231, 30.186769 47.3828492, 30.1866059 47.3827766, 30.1865342 47.3828505, 30.1866972 47.3829231))",,,,,,,
way,233480483,"[2418602058, 2418602064, 2418602056, 2418602052, 2418602058]",yes,"POLYGON ((30.1897969 47.3842057, 30.1899635 47.3842385, 30.1900425 47.3840546, 30.1898759 47.3840218, 30.1897969 47.3842057))",,,,,,,
way,233480484,"[2418601724, 2418601722, 2418601720, 2418601723, 2418601724]",yes,"POLYGON ((30.1931493 47.3731422, 30.1932515 47.3730012, 30.1931074 47.3729532, 30.1930052 47.3730942, 30.1931493 47.3731422))",,,,,,,
way,233480485,"[2418601866, 2418601860, 2418601857, 2418601863, 2418601866]",yes,"POLYGON ((30.1920072 47.3815876, 30.1920678 47.381488, 30.1919067 47.3814431, 30.1918461 47.3815427, 30.1920072 47.3815876))",,,,,,,
way,233480486,"[2418601845, 2418601838, 2418601835, 2418601843, 2418601845]",yes,"POLYGON ((30.1913385 47.3811882, 30.1915754 47.3809144, 30.1914671 47.3808714, 30.1912302 47.3811452, 30.1913385 47.3811882))",,,,,,,
way,233480487,"[2418602104, 2418602090, 2418602088, 2418602100, 2418602104]",yes,"POLYGON ((30.1897973 47.3845744, 30.1898541 47.3844568, 30.1897351 47.3844304, 30.1896783 47.384548, 30.1897973 47.3845744))",,,,,,,
way,233480488,"[2418601977, 2418601957, 2418601947, 2418601970, 2418601977]",yes,"POLYGON ((30.1879145 47.3828288, 30.1881177 47.3826247, 30.1880078 47.3825745, 30.1878046 47.3827787, 30.1879145 47.3828288))",,,,,,,
way,233480489,"[2418601911, 2418601890, 2418601884, 2418601903, 2418601911]",yes,"POLYGON ((30.1965287 47.3824079, 30.1966669 47.3822118, 30.1964927 47.3821555, 30.1963545 47.3823516, 30.1965287 47.3824079))",,,,,,,
way,233480490,"[2418602115, 2418602120, 2418602108, 2418602096, 2418602115]",yes,"POLYGON ((30.1874092 47.3846581, 30.1877061 47.3847265, 30.1877686 47.3846023, 30.1874716 47.3845339, 30.1874092 47.3846581))",,,,,,,
way,233480491,"[2418601865, 2418601867, 2418601858, 2418601856, 2418601865]",yes,"POLYGON ((30.1912342 47.3815856, 30.1914446 47.3815919, 30.1914541 47.3814465, 30.1912437 47.3814402, 30.1912342 47.3815856))",,,,,,,
way,233480492,"[2418602080, 2418602072, 2418602068, 2418602076, 2418602080]",yes,"POLYGON ((30.1899031 47.3843915, 30.1899505 47.3842878, 30.1898407 47.3842648, 30.1897933 47.3843685, 30.1899031 47.3843915))",,,,,,,
way,233480493,"[2418602253, 2418602249, 2418602243, 2418602246, 2418602253]",yes,"POLYGON ((30.19872 47.3870648, 30.1987935 47.3869646, 30.1981902 47.3867615, 30.1981167 47.3868616, 30.19872 47.3870648))",,,,,,,
way,233480494,"[2418601812, 2418601807, 2418601804, 2418601810, 2418601812]",yes,"POLYGON ((30.1915564 47.3799669, 30.1916971 47.3798232, 30.1915691 47.3797657, 30.1914284 47.3799094, 30.1915564 47.3799669))",,,,,,,
way,233480495,"[2418602231, 2418602235, 2418602221, 2418602219, 2418602231]",yes,"POLYGON ((30.1914487 47.3865375, 30.1916176 47.3865885, 30.1918798 47.3861908, 30.1917108 47.3861397, 30.1914487 47.3865375))",,,,,,,
way,233480496,"[2418602092, 2418602074, 2418602070, 2418602082, 2418602092]",yes,"POLYGON ((30.1884334 47.3844301, 30.1884977 47.3842959, 30.1881565 47.384221, 30.1880923 47.3843553, 30.1884334 47.3844301))",,,,,,,
way,233480497,"[2418601859, 2418601861, 2418601852, 2418601850, 2418601859]",yes,"POLYGON ((30.1927673 47.3814827, 30.1929259 47.3815336, 30.1930427 47.3813668, 30.1928842 47.3813159, 30.1927673 47.3814827))",,,,,,,
way,233480499,"[2418602010, 2418602003, 2418601996, 2418601999, 2418602010]",yes,"POLYGON ((30.1825576 47.383242, 30.1826786 47.3831515, 30.1824418 47.3830063, 30.1823208 47.3830968, 30.1825576 47.383242))",,,,,,,
way,233480500,"[2418602255, 2418602254, 2418602248, 2418602252, 2418602255]",yes,"POLYGON ((30.1911334 47.3872261, 30.1912046 47.3871136, 30.1908066 47.3869981, 30.1907354 47.3871106, 30.1911334 47.3872261))",,,,,,,
way,233480501,"[2418602014, 2418602020, 2418602012, 2418602007, 2418602014]",yes,"POLYGON ((30.1965726 47.3833229, 30.1968674 47.3834167, 30.1969339 47.3833209, 30.196639 47.3832271, 30.1965726 47.3833229))",,,,,,,
way,233480502,"[2418601805, 2418601803, 2418601806, 2418601808, 2418601805]",yes,"POLYGON ((30.1927089 47.3798156, 30.1924156 47.379704, 30.1923355 47.3798004, 30.1926288 47.3799121, 30.1927089 47.3798156))",,,,,,,
way,233480503,"[2418602201, 2418602187, 2418602183, 2418602196, 2418602201]",yes,"POLYGON ((30.1819884 47.3857764, 30.1821701 47.3855893, 30.1820303 47.3855271, 30.1818486 47.3857142, 30.1819884 47.3857764))",,,,,,,
way,233480505,"[2418601772, 2418601769, 2418601768, 2418601770, 2418601772]",yes,"POLYGON ((30.2003625 47.3772034, 30.2005501 47.377102, 30.2004648 47.3770296, 30.2002772 47.377131, 30.2003625 47.3772034))",,,,,,,
way,233480506,"[2418601846, 2418601839, 2418601837, 2418601842, 2418601846]",yes,"POLYGON ((30.1903632 47.38121, 30.1906033 47.3809919, 30.1904649 47.3809221, 30.1902249 47.3811402, 30.1903632 47.38121))",,,,,,,
way,233480508,"[2418602027, 2418602029, 2418602017, 2418602015, 2418602027]",yes,"POLYGON ((30.1879859 47.3835799, 30.1881437 47.3836276, 30.1883112 47.3833735, 30.1881534 47.3833258, 30.1879859 47.3835799))",,,,,,,
way,233480510,"[2418601877, 2418601879, 2418601871, 2418601870, 2418601877]",yes,"POLYGON ((30.1913793 47.3819082, 30.1915524 47.3819137, 30.1915682 47.381687, 30.1913951 47.3816815, 30.1913793 47.3819082))",,,,,,,
way,233480512,"[2418601830, 2418601826, 2418601823, 2418601827, 2418601830]",yes,"POLYGON ((30.1907811 47.3807657, 30.1909074 47.3806438, 30.1907769 47.3805818, 30.1906506 47.3807037, 30.1907811 47.3807657))",,,,,,,
way,233480514,"[2418601800, 2418601799, 2418601794, 2418601798, 2418601800]",yes,"POLYGON ((30.1999523 47.379026, 30.2001351 47.3789077, 30.199751 47.3786355, 30.1995681 47.3787538, 30.1999523 47.379026))",,,,,,,
way,233480515,"[2418602304, 2418602306, 2418602302, 2418602301, 2418602304]",yes,"POLYGON ((30.1951416 47.3928241, 30.1953589 47.3928613, 30.1954595 47.3925921, 30.1952421 47.3925549, 30.1951416 47.3928241))",,,,,,,
way,233480519,"[2418602300, 2418602298, 2418602297, 2418602299, 2418602300]",yes,"POLYGON ((30.1962199 47.3923272, 30.1962683 47.3922185, 30.1959645 47.3921565, 30.1959161 47.3922652, 30.1962199 47.3923272))",,,,,,,
way,233480520,"[2418601885, 2418601883, 2418601878, 2418601882, 2418601885]",yes,"POLYGON ((30.1859827 47.3822032, 30.1860899 47.3821052, 30.1858466 47.3819833, 30.1857395 47.3820813, 30.1859827 47.3822032))",,,,,,,
way,233480521,"[2418602239, 2418602234, 2418602228, 2418602232, 2418602239]",yes,"POLYGON ((30.1844014 47.386642, 30.1844742 47.3865419, 30.1841225 47.3864248, 30.1840498 47.3865249, 30.1844014 47.386642))",,,,,,,
way,233480522,"[2418602313, 2418602314, 2418602311, 2418602307, 2418602313]",yes,"POLYGON ((30.1955642 47.3930678, 30.1958948 47.3931313, 30.1959423 47.3930178, 30.1956118 47.3929543, 30.1955642 47.3930678))",,,,,,,
way,233480523,"[2418601875, 2418601868, 2418601864, 2418601873, 2418601875]",yes,"POLYGON ((30.18597 47.3819273, 30.1862922 47.3816857, 30.1861866 47.3816211, 30.1858644 47.3818628, 30.18597 47.3819273))",,,,,,,
way,233480525,"[2418602245, 2418602241, 2418602237, 2418602240, 2418602245]",yes,"POLYGON ((30.1850215 47.386827, 30.1851029 47.386708, 30.1846735 47.3865733, 30.1845921 47.3866923, 30.1850215 47.386827))",,,,,,,
way,233480526,"[2418602293, 2418602282, 2418602279, 2418602291, 2418602293]",yes,"POLYGON ((30.1997525 47.3901002, 30.2001378 47.3897709, 30.200018 47.3897066, 30.1996326 47.3900359, 30.1997525 47.3901002))",,,,,,,
way,233480527,"[2418601792, 2418601789, 2418601784, 2418601790, 2418601792]",yes,"POLYGON ((30.1987742 47.3785913, 30.1990981 47.3784174, 30.1989795 47.3783162, 30.1986557 47.3784901, 30.1987742 47.3785913))",,,,,,,
