element_type,osmid,geometry,amenity,building,name,shop,nodes,addr:housenumber,addr:street,addr:postcode,building:levels,description,addr:city,building:flats,start_date,phone,leisure,source:addr,operator,brand,brand:en,brand:wikidata,brand:wikipedia,contact:phone,contact:website,name:en,name:ru,opening_hours,ref,bus,public_transport,railway,architect
way,616046645,"POLYGON ((37.4002585 54.7326409, 37.400146 54.7327889, 37.4003464 54.7328397, 37.4003697 54.732809, 37.400628 54.7328744, 37.4007171 54.732757, 37.4002585 54.7326409))",,manufacture,,,"[5824766825, 5824766822, 5824766820, 5824766821, 5824766823, 5824766824, 5824766825]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046646,"POLYGON ((37.3956223 54.7344102, 37.3957896 54.7344537, 37.395862 54.7343608, 37.3956947 54.7343173, 37.3956223 54.7344102))",,yes,,,"[5824766829, 5824766826, 5824766827, 5824766828, 5824766829]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046647,"POLYGON ((37.3954278 54.7346851, 37.3955739 54.7347201, 37.3956464 54.7346195, 37.3955002 54.7345844, 37.3954278 54.7346851))",,yes,,,"[5824766833, 5824766830, 5824766831, 5824766832, 5824766833]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046649,"POLYGON ((37.3952749 54.7348972, 37.3954064 54.7349283, 37.3954909 54.7348091, 37.3953594 54.734778, 37.3952749 54.7348972))",,yes,,,"[5824766837, 5824766834, 5824766835, 5824766836, 5824766837]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046650,"POLYGON ((37.3976152 54.7350769, 37.3978941 54.7351411, 37.3979409 54.7350734, 37.3978094 54.7350431, 37.3978173 54.7350317, 37.3977731 54.7350215, 37.3977889 54.7349987, 37.3977061 54.7349796, 37.3976891 54.7350043, 37.3976686 54.7349996, 37.3976152 54.7350769))",,yes,,,"[5824766847, 5824766846, 5824766845, 5824766843, 5824766842, 5824766841, 5824766840, 5824766844, 5824766838, 5824766839, 5824766847]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046651,"POLYGON ((37.3982388 54.7353618, 37.3979451 54.7352968, 37.3979112 54.7353478, 37.3982049 54.7354128, 37.3982388 54.7353618))",,yes,,,"[5824766853, 5824766852, 5824766851, 5824766850, 5824766853]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046652,"POLYGON ((37.3980899 54.7355678, 37.3981784 54.7354571, 37.3980475 54.7354222, 37.3980044 54.735476, 37.3979156 54.7354524, 37.3978702 54.7355092, 37.3980899 54.7355678))",,yes,,,"[5824766857, 5824766856, 5824766855, 5824766849, 5824766848, 5824766854, 5824766857]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046653,"POLYGON ((37.3979987 54.7356839, 37.3977453 54.7356003, 37.3976371 54.7357096, 37.3978905 54.7357932, 37.3979987 54.7356839))",,yes,,,"[5824766861, 5824766860, 5824766859, 5824766858, 5824766861]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046654,"POLYGON ((37.3978485 54.7358295, 37.3976192 54.7357536, 37.3975259 54.7358476, 37.3977552 54.7359235, 37.3978485 54.7358295))",,yes,,,"[5824766865, 5824766864, 5824766863, 5824766862, 5824766865]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046655,"POLYGON ((37.397123 54.7362561, 37.3973987 54.7363386, 37.3977206 54.7359802, 37.3974448 54.7358976, 37.397123 54.7362561))",,yes,Торговые ряды,mall,"[5824766869, 5824766866, 5824766867, 5824766868, 5824766869]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046656,"POLYGON ((37.3954962 54.7382452, 37.395586 54.7382717, 37.395649 54.7382004, 37.3955592 54.738174, 37.3954962 54.7382452))",,yes,,,"[5824766873, 5824766870, 5824766871, 5824766872, 5824766873]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046657,"POLYGON ((37.3955807 54.7381592, 37.3956647 54.7381899, 37.3957452 54.7381163, 37.3956612 54.7380857, 37.3955807 54.7381592))",,yes,,,"[5824766877, 5824766874, 5824766875, 5824766876, 5824766877]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046658,"POLYGON ((37.395401 54.738064, 37.3955351 54.7381152, 37.3956584 54.7380076, 37.3955244 54.7379564, 37.395401 54.738064))",,yes,,,"[5824766881, 5824766878, 5824766879, 5824766880, 5824766881]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046659,"POLYGON ((37.3949088 54.7384984, 37.3950876 54.7385483, 37.3951707 54.7384492, 37.394992 54.7383993, 37.3949088 54.7384984))",,yes,,,"[5824766885, 5824766882, 5824766883, 5824766884, 5824766885]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046660,"POLYGON ((37.3956934 54.7377241, 37.3956463 54.73777, 37.3957777 54.7378149, 37.3958248 54.737769, 37.3956934 54.7377241))",,yes,,,"[5824766889, 5824766886, 5824766887, 5824766888, 5824766889]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046661,"POLYGON ((37.3959012 54.7375615, 37.3960141 54.7375975, 37.3960999 54.7375077, 37.3959871 54.7374717, 37.3959012 54.7375615))",,yes,,,"[5824766893, 5824766890, 5824766891, 5824766892, 5824766893]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046662,"POLYGON ((37.3962285 54.7373943, 37.3963237 54.7373029, 37.396182 54.7372537, 37.3960868 54.7373451, 37.3962285 54.7373943))",,yes,,,"[5824766897, 5824766896, 5824766895, 5824766894, 5824766897]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046663,"POLYGON ((37.3962593 54.7371156, 37.3964404 54.7371705, 37.3964981 54.7371072, 37.396317 54.7370522, 37.3962593 54.7371156))",,yes,,,"[5824766901, 5824766900, 5824766899, 5824766898, 5824766901]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046664,"POLYGON ((37.3968185 54.7370087, 37.3969218 54.7369042, 37.3966922 54.7368286, 37.396589 54.7369331, 37.3968185 54.7370087))",,yes,,mall,"[5824766905, 5824766904, 5824766903, 5824766902, 5824766905]",45А,улица Поленова,,,,,,,,,,,,,,,,,,,,,,,,
way,616046665,"POLYGON ((37.3969835 54.736716, 37.3968534 54.7366696, 37.3967982 54.7367211, 37.3968432 54.7367372, 37.3968033 54.7367745, 37.3968883 54.7368049, 37.3969835 54.736716))",,yes,,,"[5824766912, 5824766911, 5824766910, 5824766908, 5824766907, 5824766909, 5824766912]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046666,"POLYGON ((37.3957886 54.7366115, 37.3959334 54.7366564, 37.3960052 54.7365793, 37.3958603 54.7365344, 37.3957886 54.7366115))",,yes,,,"[5824766916, 5824766915, 5824766914, 5824766913, 5824766916]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046667,"POLYGON ((37.3958141 54.7369328, 37.3959415 54.7367989, 37.3957787 54.7367473, 37.3956513 54.7368812, 37.3958141 54.7369328))",,yes,,,"[5824766920, 5824766919, 5824766918, 5824766917, 5824766920]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046668,"POLYGON ((37.3954828 54.7371125, 37.3955499 54.7370327, 37.3954182 54.7369958, 37.3953512 54.7370756, 37.3954828 54.7371125))",,yes,,,"[5824766924, 5824766923, 5824766922, 5824766921, 5824766924]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046669,"POLYGON ((37.3950738 54.7373269, 37.3952079 54.7373718, 37.3952875 54.7372925, 37.3951534 54.7372476, 37.3950738 54.7373269))",,yes,,,"[5824766928, 5824766927, 5824766926, 5824766925, 5824766928]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046670,"POLYGON ((37.3951207 54.7374802, 37.3949625 54.7374361, 37.3949107 54.737498, 37.3950689 54.7375421, 37.3951207 54.7374802))",,yes,,,"[5824766932, 5824766931, 5824766930, 5824766929, 5824766932]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046671,"POLYGON ((37.3946983 54.7377806, 37.3948382 54.7378221, 37.3949186 54.7377315, 37.3947787 54.73769, 37.3946983 54.7377806))",,yes,,,"[5824766936, 5824766933, 5824766934, 5824766935, 5824766936]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046672,"POLYGON ((37.3944287 54.7380114, 37.3946006 54.7380706, 37.3946918 54.7379823, 37.3945199 54.7379231, 37.3944287 54.7380114))",,yes,,,"[5824766940, 5824766937, 5824766938, 5824766939, 5824766940]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046673,"POLYGON ((37.3942342 54.7382831, 37.3941908 54.7383337, 37.3943343 54.7383748, 37.3943777 54.7383242, 37.3942342 54.7382831))",,yes,,,"[5824766944, 5824766941, 5824766942, 5824766943, 5824766944]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046675,"POLYGON ((37.394316 54.738191, 37.3944565 54.7382268, 37.3945276 54.7381339, 37.3943871 54.7380981, 37.394316 54.738191))",,yes,,,"[5824766948, 5824766945, 5824766946, 5824766947, 5824766948]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046676,"POLYGON ((37.3937528 54.7381337, 37.3937139 54.7381751, 37.3938923 54.7382309, 37.3939311 54.7381894, 37.3937528 54.7381337))",,yes,,,"[5824766952, 5824766949, 5824766950, 5824766951, 5824766952]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046677,"POLYGON ((37.3940156 54.7380679, 37.39408 54.737992, 37.3939556 54.7379568, 37.3938913 54.7380327, 37.3940156 54.7380679))",,yes,,,"[5824766956, 5824766955, 5824766954, 5824766953, 5824766956]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046678,"POLYGON ((37.3941846 54.7378898, 37.3942758 54.7377915, 37.3941898 54.7377649, 37.3941415 54.737817, 37.3940238 54.7377806, 37.3939809 54.7378268, 37.3941846 54.7378898))",,yes,,,"[5824766962, 5824766961, 5824766960, 5824766957, 5824766958, 5824766959, 5824766962]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046679,"POLYGON ((37.3943603 54.7376885, 37.3944247 54.7376142, 37.3942503 54.7375638, 37.394186 54.7376382, 37.3943603 54.7376885))",,yes,,,"[5824766966, 5824766965, 5824766964, 5824766963, 5824766966]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046680,"POLYGON ((37.3943979 54.7373904, 37.3943395 54.7374557, 37.3945058 54.7375052, 37.3945642 54.73744, 37.3943979 54.7373904))",,yes,,,"[5824766970, 5824766967, 5824766968, 5824766969, 5824766970]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046681,"POLYGON ((37.3940827 54.7372007, 37.3942219 54.7372484, 37.3943238 54.7371493, 37.3941846 54.7371016, 37.3940827 54.7372007))",,yes,,,"[5824766974, 5824766971, 5824766972, 5824766973, 5824766974]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046682,"POLYGON ((37.394646 54.7371752, 37.3947857 54.7372114, 37.3948514 54.737127, 37.3947117 54.7370908, 37.394646 54.7371752))",,yes,,,"[5824766978, 5824766975, 5824766976, 5824766977, 5824766978]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046683,"POLYGON ((37.3947251 54.7369886, 37.3947931 54.7370084, 37.3948003 54.7370001, 37.3949684 54.7370492, 37.3950488 54.7369574, 37.3948804 54.7369083, 37.3949046 54.7368806, 37.3947607 54.7368386, 37.3947195 54.7368857, 37.3947957 54.7369079, 37.3947251 54.7369886))",,yes,,,"[5824766988, 5824766980, 5824766979, 5824766987, 5824766986, 5824766983, 5824766984, 5824766985, 5824766981, 5824766982, 5824766988]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046684,"POLYGON ((37.3950081 54.7368283, 37.3950982 54.7368524, 37.3951639 54.7367703, 37.3950738 54.7367462, 37.3950081 54.7368283))",,yes,,,"[5824766992, 5824766989, 5824766990, 5824766991, 5824766992]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046685,"POLYGON ((37.395236 54.7367114, 37.3953125 54.7366309, 37.3952265 54.7366037, 37.3951501 54.7366842, 37.395236 54.7367114))",,yes,,,"[5824766996, 5824766995, 5824766994, 5824766993, 5824766996]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046686,"POLYGON ((37.3953876 54.7365821, 37.3954815 54.7364876, 37.3953462 54.7364428, 37.3952523 54.7365373, 37.3953876 54.7365821))",,yes,,,"[5824767000, 5824766999, 5824766998, 5824766997, 5824767000]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046687,"POLYGON ((37.3951837 54.7360068, 37.3952763 54.7358605, 37.3951678 54.7358376, 37.3950753 54.7359839, 37.3951837 54.7360068))",,yes,,,"[5824767004, 5824767003, 5824767002, 5824767001, 5824767004]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046690,"POLYGON ((37.3851295 54.7372278, 37.3851603 54.7371202, 37.3850737 54.7371119, 37.3850429 54.7372196, 37.3851295 54.7372278))",,yes,,,"[5824767045, 5824767044, 5824767043, 5824767042, 5824767045]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046691,"POLYGON ((37.3848841 54.7370722, 37.3848762 54.737093, 37.3848145 54.7370853, 37.3847945 54.7371381, 37.3848453 54.7371445, 37.3848345 54.737173, 37.3850295 54.7371975, 37.3850681 54.7370954, 37.3848841 54.7370722))",,yes,,,"[5824767153, 5824767049, 5824767048, 5824767047, 5824767046, 5824767050, 5824767051, 5824767052, 5824767153]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046692,"POLYGON ((37.3848894 54.7375352, 37.3849283 54.7374237, 37.3847605 54.7374042, 37.3847216 54.7375157, 37.3848894 54.7375352))",,yes,,,"[5824767157, 5824767156, 5824767155, 5824767154, 5824767157]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046693,"POLYGON ((37.3850913 54.7381213, 37.3851201 54.738047, 37.3849883 54.7380299, 37.3849595 54.7381043, 37.3850913 54.7381213))",,yes,,,"[5824767161, 5824767160, 5824767159, 5824767158, 5824767161]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046694,"POLYGON ((37.3862238 54.7377226, 37.3862775 54.7375979, 37.3860849 54.7375703, 37.3860312 54.7376949, 37.3862238 54.7377226))",,yes,,,"[5824767165, 5824767164, 5824767163, 5824767162, 5824767165]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046695,"POLYGON ((37.38672 54.7378279, 37.3867536 54.7377415, 37.3865879 54.7377201, 37.3865544 54.7378064, 37.38672 54.7378279))",,yes,,,"[5824767169, 5824767168, 5824767167, 5824767166, 5824767169]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046696,"POLYGON ((37.3876856 54.7384372, 37.3877259 54.7383187, 37.3874866 54.7382916, 37.3874464 54.7384101, 37.3876856 54.7384372))",,yes,,,"[5824767173, 5824767172, 5824767171, 5824767170, 5824767173]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046697,"POLYGON ((37.3881081 54.7385316, 37.3881349 54.7384473, 37.387956 54.7384283, 37.3879292 54.7385127, 37.3881081 54.7385316))",,yes,,,"[5824767177, 5824767176, 5824767175, 5824767174, 5824767177]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046698,"POLYGON ((37.3889369 54.7391448, 37.3889758 54.7390202, 37.3887696 54.7389987, 37.3887307 54.7391234, 37.3889369 54.7391448))",,yes,,,"[5824767181, 5824767180, 5824767179, 5824767178, 5824767181]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046699,"POLYGON ((37.3880437 54.738894, 37.3880772 54.7388042, 37.3878978 54.7387818, 37.3878642 54.7388717, 37.3880437 54.738894))",,yes,,,"[5824767185, 5824767184, 5824767183, 5824767182, 5824767185]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046700,"POLYGON ((37.3875475 54.7388398, 37.3875931 54.7387058, 37.3873954 54.7386834, 37.3873498 54.7388174, 37.3875475 54.7388398))",,yes,,,"[5824767189, 5824767188, 5824767187, 5824767186, 5824767189]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046701,"POLYGON ((37.3864505 54.7386795, 37.3864947 54.7385719, 37.3863159 54.7385474, 37.3862717 54.738655, 37.3864505 54.7386795))",,yes,,,"[5824767193, 5824767192, 5824767191, 5824767190, 5824767193]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046702,"POLYGON ((37.3845233 54.738383, 37.3845528 54.7382676, 37.3843449 54.7382499, 37.3843154 54.7383653, 37.3845233 54.738383))",,yes,,,"[5824767197, 5824767196, 5824767195, 5824767194, 5824767197]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046703,"POLYGON ((37.3854125 54.7385316, 37.3854567 54.7384264, 37.385278 54.7384013, 37.3852338 54.7385066, 37.3854125 54.7385316))",,yes,,,"[5824767201, 5824767200, 5824767199, 5824767198, 5824767201]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046704,"POLYGON ((37.3927872 54.7371187, 37.3930286 54.7368376, 37.3928575 54.7367886, 37.3926161 54.7370697, 37.3927872 54.7371187))",,warehouse,,,"[5824767205, 5824767204, 5824767203, 5824767202, 5824767205]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046705,"POLYGON ((37.391894 54.7371798, 37.3922145 54.7372487, 37.3922785 54.7371495, 37.391958 54.7370806, 37.391894 54.7371798))",,warehouse,,,"[5824767209, 5824767208, 5824767207, 5824767206, 5824767209]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046706,"POLYGON ((37.3910518 54.7368918, 37.3909484 54.7370493, 37.3915921 54.7371902, 37.3916955 54.7370327, 37.3910518 54.7368918))",,warehouse,,,"[5824767213, 5824767210, 5824767211, 5824767212, 5824767213]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046707,"POLYGON ((37.3897308 54.7383474, 37.3896255 54.7384581, 37.3899403 54.7385578, 37.3898952 54.7386053, 37.3901372 54.738682, 37.3900683 54.7387544, 37.390229 54.7388054, 37.3902023 54.7388334, 37.3902455 54.7388471, 37.3902312 54.7388621, 37.39032 54.7388903, 37.3903681 54.7388397, 37.3903529 54.7388349, 37.3904541 54.7387286, 37.3904942 54.7387413, 37.3906257 54.738603, 37.3903994 54.7385313, 37.3903789 54.7385528, 37.3897308 54.7383474))",,yes,,,"[5824767231, 5824767228, 5824767225, 5824767224, 5824767223, 5824767222, 5824767219, 5824767218, 5824767217, 5824767216, 5824767229, 5824767214, 5824767215, 5824767220, 5824767221, 5824767230, 5824767226, 5824767227, 5824767231]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046708,"POLYGON ((37.3905087 54.7384287, 37.3906291 54.7384705, 37.3906003 54.7384981, 37.3907561 54.7385523, 37.3908346 54.738477, 37.3905583 54.738381, 37.3905087 54.7384287))",,warehouse,,,"[5824767237, 5824767233, 5824767232, 5824767236, 5824767235, 5824767234, 5824767237]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046709,"POLYGON ((37.3907273 54.7383218, 37.3906495 54.7381654, 37.3904678 54.7381956, 37.3905456 54.7383519, 37.3907273 54.7383218))",,warehouse,,,"[5824767241, 5824767240, 5824767239, 5824767238, 5824767241]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046710,"POLYGON ((37.3896892 54.7382398, 37.3896839 54.7380176, 37.3894555 54.7380194, 37.3894609 54.7382416, 37.3896892 54.7382398))",,warehouse,,,"[5824767245, 5824767244, 5824767243, 5824767242, 5824767245]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046711,"POLYGON ((37.3892735 54.7382599, 37.3893084 54.7380547, 37.3891163 54.7380438, 37.3890814 54.738249, 37.3892735 54.7382599))",,warehouse,,,"[5824767249, 5824767248, 5824767247, 5824767246, 5824767249]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046712,"POLYGON ((37.3918726 54.7384604, 37.3920898 54.7382661, 37.3919557 54.7382161, 37.3917385 54.7384105, 37.3918726 54.7384604))",,warehouse,,,"[5824767353, 5824767252, 5824767251, 5824767250, 5824767353]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046713,"POLYGON ((37.392173 54.7388351, 37.3923849 54.7385967, 37.3922084 54.7385444, 37.3919965 54.7387829, 37.392173 54.7388351))",,industrial,,,"[5824767357, 5824767356, 5824767355, 5824767354, 5824767357]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046714,"POLYGON ((37.3920214 54.7390202, 37.3921703 54.7388661, 37.3920014 54.7388117, 37.3918525 54.7389658, 37.3920214 54.7390202))",,warehouse,,,"[5824767361, 5824767360, 5824767359, 5824767358, 5824767361]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046715,"POLYGON ((37.391894 54.7391541, 37.3919986 54.7390318, 37.3918336 54.7389848, 37.391729 54.7391071, 37.391894 54.7391541))",,warehouse,,,"[5824767365, 5824767364, 5824767363, 5824767362, 5824767365]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046716,"POLYGON ((37.3916151 54.739453, 37.3918551 54.7391688, 37.3917099 54.7391279, 37.3914698 54.7394121, 37.3916151 54.739453))",,warehouse,,,"[5824767369, 5824767368, 5824767367, 5824767366, 5824767369]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046717,"POLYGON ((37.3913629 54.7393562, 37.3915668 54.7391371, 37.3914283 54.7390942, 37.3914104 54.7391134, 37.391294 54.7390773, 37.3911081 54.7392772, 37.3913629 54.7393562))",,industrial,,,"[5824767375, 5824767374, 5824767371, 5824767370, 5824767373, 5824767372, 5824767375]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046718,"POLYGON ((37.3904752 54.7388831, 37.3903777 54.7389821, 37.3907379 54.7391002, 37.3907774 54.7390601, 37.3910569 54.7391518, 37.3911148 54.739093, 37.3904752 54.7388831))",,warehouse,,,"[5824767381, 5824767378, 5824767376, 5824767377, 5824767379, 5824767380, 5824767381]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046722,"POLYGON ((37.3878224 54.7335468, 37.3878129 54.7336094, 37.3879967 54.7336187, 37.3880061 54.7335561, 37.3878224 54.7335468))",,yes,,,"[5824767448, 5824767445, 5824767446, 5824767447, 5824767448]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046723,"POLYGON ((37.3893057 54.7338906, 37.3890817 54.7338457, 37.3890409 54.7339135, 37.3892649 54.7339584, 37.3893057 54.7338906))",,yes,,,"[5824767452, 5824767451, 5824767450, 5824767449, 5824767452]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046724,"POLYGON ((37.3899159 54.7339402, 37.3896718 54.7338937, 37.3896394 54.7339505, 37.3898835 54.7339969, 37.3899159 54.7339402))",,yes,,,"[5824767656, 5824767655, 5824767654, 5824767653, 5824767656]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046725,"POLYGON ((37.3904161 54.7340393, 37.3901211 54.7339843, 37.3900654 54.734084, 37.3901621 54.734102, 37.3901863 54.7340587, 37.3902634 54.7340731, 37.3902412 54.7341127, 37.3903625 54.7341353, 37.3904161 54.7340393))",,yes,,,"[5824767664, 5824767663, 5824767662, 5824767657, 5824767659, 5824767660, 5824767658, 5824767661, 5824767664]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046726,"POLYGON ((37.3906843 54.7342484, 37.3907702 54.7341074, 37.3905819 54.7340692, 37.3904961 54.7342102, 37.3906843 54.7342484))",,yes,,,"[5824767668, 5824767667, 5824767666, 5824767665, 5824767668]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046727,"POLYGON ((37.3910907 54.7346146, 37.3906468 54.7345, 37.3905638 54.7346072, 37.3910077 54.7347218, 37.3910907 54.7346146))",,yes,,,"[5824767672, 5824767671, 5824767670, 5824767669, 5824767672]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046728,"POLYGON ((37.391198 54.7342321, 37.390852 54.7341539, 37.3907564 54.7342948, 37.3911025 54.734373, 37.391198 54.7342321))",,yes,,,"[5824767676, 5824767675, 5824767674, 5824767673, 5824767676]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046729,"POLYGON ((37.3920134 54.7347029, 37.392185 54.7344125, 37.3919795 54.734372, 37.3918079 54.7346624, 37.3920134 54.7347029))",,yes,,,"[5824767680, 5824767679, 5824767678, 5824767677, 5824767680]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046730,"POLYGON ((37.3937581 54.7351621, 37.393844 54.7350343, 37.393664 54.734994, 37.3935781 54.7351217, 37.3937581 54.7351621))",,yes,,,"[5824767684, 5824767683, 5824767682, 5824767681, 5824767684]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046731,"POLYGON ((37.3942839 54.735512, 37.3941211 54.7357061, 37.3948359 54.7359059, 37.3949987 54.7357118, 37.3942839 54.735512))",,yes,,,"[5824767688, 5824767685, 5824767686, 5824767687, 5824767688]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046732,"POLYGON ((37.3944971 54.7354462, 37.3946781 54.735135, 37.3944426 54.7350893, 37.3942616 54.7354006, 37.3944971 54.7354462))",,yes,,,"[5824767692, 5824767691, 5824767690, 5824767689, 5824767692]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046733,"POLYGON ((37.3909485 54.7326378, 37.3909594 54.7327388, 37.3912612 54.7327279, 37.3912503 54.7326269, 37.3909485 54.7326378))",,yes,,,"[5824767696, 5824767693, 5824767694, 5824767695, 5824767696]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046734,"POLYGON ((37.39178 54.7320671, 37.3917047 54.7321558, 37.3918185 54.732188, 37.3918365 54.7321667, 37.3918753 54.7321777, 37.3918451 54.7322133, 37.3920185 54.7322623, 37.3921059 54.7321592, 37.39178 54.7320671))",,yes,,,"[5824767704, 5824767701, 5824767697, 5824767698, 5824767700, 5824767699, 5824767702, 5824767703, 5824767704]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046735,"POLYGON ((37.3928596 54.731944, 37.3927945 54.7320314, 37.3930345 54.732091, 37.3930997 54.7320036, 37.3928596 54.731944))",,yes,,,"[5824767708, 5824767705, 5824767706, 5824767707, 5824767708]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046736,"POLYGON ((37.3954627 54.733204, 37.395394 54.7332991, 37.3954627 54.7333157, 37.3954465 54.7333382, 37.3955787 54.73337, 37.3955945 54.7333482, 37.3956549 54.7333627, 37.3956745 54.7333355, 37.3958396 54.7333753, 37.3958892 54.7333068, 37.3954627 54.733204))",,yes,,,"[5824767718, 5824767715, 5824767711, 5824767714, 5824767710, 5824767713, 5824767709, 5824767712, 5824767716, 5824767717, 5824767718]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046737,"POLYGON ((37.3943925 54.7327911, 37.3943518 54.7328385, 37.3946522 54.7329245, 37.3946929 54.732877, 37.3943925 54.7327911))",,yes,,,"[5824767722, 5824767719, 5824767720, 5824767721, 5824767722]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046738,"POLYGON ((37.394996 54.7331837, 37.3951612 54.7332186, 37.3952162 54.7331319, 37.395051 54.733097, 37.394996 54.7331837))",,yes,,,"[5824767726, 5824767723, 5824767724, 5824767725, 5824767726]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,616046739,"POLYGON ((37.3949598 54.7331767, 37.3950282 54.7330908, 37.3948569 54.7330453, 37.3947885 54.7331313, 37.3949598 54.7331767))",,yes,,,"[5824767730, 5824767729, 5824767728, 5824767727, 5824767730]",,,,,,,,,,,,,,,,,,,,,,,,,,
