element_type,osmid,geometry,amenity,building,name,shop,nodes,addr:housenumber,addr:street,addr:postcode,building:levels,description,addr:city,building:flats,start_date,phone,leisure,source:addr,operator,brand,brand:en,brand:wikidata,brand:wikipedia,contact:phone,contact:website,name:en,name:ru,opening_hours,ref,bus,public_transport,railway,architect
way,213915684,"POLYGON ((37.3893642 54.7300626, 37.3899362 54.7302618, 37.3900379 54.7301643, 37.389466 54.7299652, 37.3893642 54.7300626))",,apartments,,,"[2235611049, 2235611067, 2235611056, 2235611038, 2235611049]",11,Северная улица,,,,,,,,,,,,,,,,,,,,,,,,
way,213915685,"POLYGON ((37.3960795 54.7330526, 37.3963132 54.732764, 37.3961165 54.7327109, 37.3958827 54.7329995, 37.3960795 54.7330526))",,yes,,,"[2235611221, 2235611211, 2235611207, 2235611219, 2235611221]",1,Первомайский проезд,,2,,Заокский,,,,,,,,,,,,,,,,,,,,
way,213915686,"POLYGON ((37.3930287 54.7292677, 37.3936983 54.7293092, 37.3937214 54.7291852, 37.3930517 54.7291437, 37.3930287 54.7292677))",,apartments,,,"[2235611003, 2235611005, 2235610991, 2235610987, 2235611003]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,213915687,"POLYGON ((37.390146 54.7303348, 37.390715 54.7305281, 37.3908203 54.7304248, 37.3902513 54.7302315, 37.390146 54.7303348))",,apartments,,,"[2235611073, 2235611084, 2235611076, 2235611062, 2235611073]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,213915688,"POLYGON ((37.3958596 54.7313969, 37.3959372 54.7310766, 37.3957395 54.7310606, 37.3956619 54.7313809, 37.3958596 54.7313969))",,apartments,,,"[2235611156, 2235611123, 2235611121, 2235611154, 2235611156]",1,Северная улица,301000,2,,,16,1969,,,,,,,,,,,,,,,,,,
way,213915689,"POLYGON ((37.393423 54.7297064, 37.3935966 54.7297172, 37.3936473 54.7294454, 37.3934737 54.7294346, 37.393423 54.7297064))",,apartments,,,"[2235611029, 2235611031, 2235611016, 2235611015, 2235611029]",17,проезд Саши Чекалина,,2,,,,,,,,,,,,,,,,,,,,,,
way,213915690,"POLYGON ((37.3957636 54.7309475, 37.3959543 54.7309614, 37.3960359 54.7305889, 37.3958452 54.730575, 37.3957636 54.7309475))",,apartments,,,"[2235611110, 2235611111, 2235611091, 2235611087, 2235611110]",3,Северная улица,301000,2,,,16,1970,,,,,,,,,,,,,,,,,,
way,213915691,"POLYGON ((37.3929625 54.7293998, 37.3929203 54.7296724, 37.3930941 54.7296813, 37.3931363 54.7294088, 37.3929625 54.7293998))",,apartments,,,"[2235611011, 2235611025, 2235611026, 2235611013, 2235611011]",21,проезд Саши Чекалина,,2,,,,,,,,,,,,,,,,,,,,,,
way,213915692,"POLYGON ((37.3948048 54.7308841, 37.3949935 54.7308963, 37.3950538 54.730586, 37.3948652 54.7305738, 37.3948048 54.7308841))",,apartments,,,"[2235611104, 2235611106, 2235611089, 2235611085, 2235611104]",4,Северная улица,301000,2,,,16,1968,,,,,,,,,,,,,,,,,,
way,213915693,"POLYGON ((37.399314 54.7317159, 37.3997106 54.7313143, 37.3995167 54.7312505, 37.3991201 54.7316521, 37.399314 54.7317159))",,yes,,,"[2235611166, 2235611142, 2235611141, 2235611164, 2235611166]",29,улица Ленина,,,,Заокский,,,,,,,,,,,,,,,,,,,,
way,213915694,"POLYGON ((37.390132 54.7311969, 37.390326 54.7311944, 37.3903116 54.7308119, 37.3901176 54.7308143, 37.390132 54.7311969))",,apartments,,,"[2235611132, 2235611130, 2235611093, 2235611095, 2235611132]",10,Северная улица,,,,,,,,,,,,,,,,,,,,,,,,
