element_type,osmid,source,geometry,addr:housenumber,addr:street,fixme,wheelchair,addr:city,name,opening_hours,tourism,building,nodes,building:levels,building:material,addr:postcode,description,roof:shape,amenity,addr2:housenumber,addr2:street,phone,generator:method,addr:country,addr:district,addr:region,note,name:en,shop,name:ru,religion,website,administrative,office,layer,man_made,addr:place,roof:levels,power,bench,shelter,healthcare,addr:full,alt_name,brand,brand:en,brand:wikidata,brand:wikipedia,contact:email,contact:facebook,contact:instagram,contact:ok,contact:phone,contact:vk,contact:website,operator,ref,service,ways,type
way,95146947,BING,"POLYGON ((34.4289508 62.9112057, 34.4291055 62.9111755, 34.4290676 62.9111352, 34.4289129 62.9111654, 34.4289508 62.9112057))",16,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103735677, 1103734310, 1103735415, 1103733729, 1103735677]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146948,BING,"POLYGON ((34.4319248 62.9106664, 34.4317943 62.9106011, 34.4315165 62.9107161, 34.4316469 62.9107815, 34.4319248 62.9106664))",1,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103734995, 1103735665, 1103734655, 1103733297, 1103734995]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146949,BING,"POLYGON ((34.437863 62.9044891, 34.4378324 62.9044616, 34.4376082 62.9045134, 34.4376388 62.9045409, 34.437863 62.9044891))",,,,,,,,,yes,"[1103733437, 1103734416, 1103735717, 1103734768, 1103733437]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146950,BING,"POLYGON ((34.4246601 62.9100572, 34.4245478 62.9099705, 34.4242952 62.9100383, 34.4244075 62.910125, 34.4246601 62.9100572))",13,улица Островского,,,Медвежьегорск,,,,yes,"[1103735710, 1103733834, 1103735481, 1103734407, 1103735710]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146951,BING,"POLYGON ((34.4239023 62.9092111, 34.4239676 62.9092569, 34.4241926 62.9091904, 34.4241273 62.9091446, 34.4239023 62.9092111))",11,улица Лермонтова,,,Медвежьегорск,,,,yes,"[1103735630, 1103734383, 1103735697, 1103734128, 1103735630]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146952,BING,"POLYGON ((34.4351641 62.9040162, 34.4353251 62.903963, 34.4352648 62.9039251, 34.4351038 62.9039783, 34.4351641 62.9040162))",,,,,,,,,yes,"[1103734331, 1103735446, 1103733757, 1103735574, 1103734331]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146953,BING,"POLYGON ((34.4277888 62.9116672, 34.4279566 62.9116372, 34.4278871 62.9115567, 34.4277194 62.9115867, 34.4277888 62.9116672))",14,улица Пушкина,,,Медвежьегорск,,,,yes,"[1103734703, 1103734800, 1103733480, 1103735140, 1103734703]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146954,BING,"POLYGON ((34.4275415 62.9093519, 34.4274437 62.9092811, 34.4272871 62.9093259, 34.4273849 62.9093967, 34.4275415 62.9093519))",24,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103735651, 1103733592, 1103735294, 1103734189, 1103735651]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146955,BING,"POLYGON ((34.4252112 62.9105485, 34.4251658 62.9105071, 34.4249839 62.9105485, 34.4250294 62.9105899, 34.4252112 62.9105485))",9,улица Гоголя,,,Медвежьегорск,,,,yes,"[1103734723, 1103735448, 1103734348, 1103735686, 1103734723]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146956,BING,"POLYGON ((34.4367799 62.904783, 34.436717 62.9047604, 34.4366222 62.904815, 34.4366852 62.9048376, 34.4367799 62.904783))",47,улица Дорофеева,,,Медвежьегорск,,,,yes,"[1103735105, 1103735286, 1103734185, 1103735643, 1103735105]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146957,BING,"POLYGON ((34.4277036 62.910596, 34.4274384 62.9106406, 34.4275029 62.9107202, 34.4277681 62.9106756, 34.4277036 62.910596))",5,улица Пушкина,,,Медвежьегорск,,,,yes,"[1103733793, 1103735002, 1103733315, 1103734674, 1103733793]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146958,BING,"POLYGON ((34.4347157 62.9040449, 34.4345761 62.9040985, 34.4346771 62.9041531, 34.4348167 62.9040996, 34.4347157 62.9040449))",44А,улица Дорофеева,,,Медвежьегорск,,,,yes,"[1103735138, 1103735726, 1103734791, 1103733479, 1103735138]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146959,BING,"POLYGON ((34.4333169 62.9055852, 34.4332706 62.9055549, 34.4331254 62.9056009, 34.4331717 62.9056312, 34.4333169 62.9055852))",56,улица Дорофеева,,,Медвежьегорск,,,,yes,"[1103733403, 1103734357, 1103735688, 1103734729, 1103733403]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146960,BING,"POLYGON ((34.4243601 62.9098366, 34.4242757 62.9097707, 34.4240388 62.9098336, 34.4241233 62.9098995, 34.4243601 62.9098366))",12,улица Островского,,,Медвежьегорск,,,,yes,"[1103733849, 1103735232, 1103733365, 1103735023, 1103733849]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146962,BING,"POLYGON ((34.4330241 62.9108583, 34.432962 62.9108028, 34.4326146 62.9108833, 34.4326767 62.9109388, 34.4330241 62.9108583))",31,улица Куйбышева,,,Медвежьегорск,,,,yes,"[1103733228, 1103734087, 1103735613, 1103734557, 1103733228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146963,BING,"POLYGON ((34.4266473 62.9095762, 34.4265617 62.9095077, 34.4263444 62.9095641, 34.4264301 62.9096326, 34.4266473 62.9095762))",5,улица Островского,,,Медвежьегорск,,,,yes,"[1103733911, 1103734726, 1103733394, 1103735056, 1103733911]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146964,BING,"POLYGON ((34.4265348 62.9091904, 34.4262521 62.9092608, 34.4263279 62.9093239, 34.4264391 62.9092962, 34.4264805 62.9093306, 34.426652 62.9092879, 34.4265348 62.9091904))",4,улица Островского,,,Медвежьегорск,,,,yes,"[1103733595, 1103734903, 1103735472, 6612763578, 6612763579, 1103733783, 1103733595]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146965,BING,"POLYGON ((34.4285721 62.9108113, 34.4288018 62.9107695, 34.4287296 62.9106873, 34.4284999 62.9107291, 34.4285721 62.9108113))",18,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103734274, 1103735769, 1103734469, 1103735543, 1103734274]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146966,BING,"POLYGON ((34.4238115 62.9098797, 34.4236102 62.9099426, 34.4237326 62.9100238, 34.4239339 62.9099609, 34.4238115 62.9098797))",14,улица Островского,,,Медвежьегорск,,,,yes,"[1103734856, 1103735790, 1103734490, 1103735558, 1103734856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146967,BING,"POLYGON ((34.4214197 62.9109743, 34.4215288 62.9109363, 34.4214262 62.9108752, 34.4213171 62.9109132, 34.4214197 62.9109743))",,,,,,,,,yes,"[1103734010, 1103734783, 1103733474, 1103735120, 1103734010]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146968,BING,"POLYGON ((34.4368975 62.9042851, 34.4367839 62.9042218, 34.4367055 62.904251, 34.4368191 62.9043143, 34.4368975 62.9042851))",,,,,,,,,yes,"[1103733284, 1103734646, 1103735658, 1103734213, 1103733284]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146969,BING,"POLYGON ((34.4284014 62.9116658, 34.428493 62.911765, 34.4286251 62.9117397, 34.4285336 62.9116405, 34.4284014 62.9116658))",13,улица Пушкина,,,Медвежьегорск,,,,yes,"[1103735298, 1103733617, 1103734908, 1103733206, 1103735298]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146970,BING,"POLYGON ((34.4349336 62.9044189, 34.4348212 62.9044739, 34.4350454 62.9045688, 34.4351577 62.9045138, 34.4349336 62.9044189))",46Б,улица Дорофеева,,,Медвежьегорск,,,,yes,"[1103734750, 1103733227, 1103734936, 1103733647, 1103734750]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146971,,"POLYGON ((34.4579746 62.9040206, 34.4578873 62.9040655, 34.4581084 62.9041547, 34.4581956 62.9041098, 34.4579746 62.9040206))",,,,,,,,,yes,"[1103734860, 1103733343, 1103735011, 1103733802, 1103734860]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146972,BING,"POLYGON ((34.4344915 62.9055996, 34.4343747 62.9056528, 34.4345136 62.9057161, 34.4346304 62.9056629, 34.4344915 62.9055996))",57,улица Дорофеева,,,Медвежьегорск,,,,yes,"[1103735633, 1103734138, 1103735254, 1103733555, 1103735633]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146973,BING,"POLYGON ((34.4335537 62.9044059, 34.4334491 62.9044404, 34.4335565 62.904508, 34.4336611 62.9044735, 34.4335537 62.9044059))",50А,улица Дорофеева,,,Медвежьегорск,,,,yes,"[1103735682, 1103733752, 1103735444, 1103734327, 1103735682]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146975,BING,"POLYGON ((34.4303036 62.9127051, 34.430493 62.9126671, 34.4304372 62.9126093, 34.4302477 62.9126473, 34.4303036 62.9127051))",10А,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103733586, 1103734897, 1103733865, 1103735033, 1103733586]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146976,BING,"POLYGON ((34.4276776 62.9135275, 34.4275615 62.913464, 34.4273493 62.9135445, 34.4274654 62.913608, 34.4276776 62.9135275))",29,улица Пушкина,,,Медвежьегорск,,,,yes,"[1103735594, 1103733518, 1103735180, 1103734052, 1103735594]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146977,BING,"POLYGON ((34.4236694 62.9095041, 34.4235273 62.9093962, 34.4233973 62.9094318, 34.4235394 62.9095396, 34.4236694 62.9095041))",13,улица Лермонтова,,,Медвежьегорск,,,,yes,"[1103735675, 1103734291, 1103735406, 1103733690, 1103735675]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146978,BING,"POLYGON ((34.4262152 62.9080679, 34.4259743 62.9081168, 34.4261992 62.9083469, 34.4264401 62.908298, 34.4262152 62.9080679))",26,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103735824, 1103734694, 1103733368, 1103734517, 1103735824]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146979,BING,"POLYGON ((34.4225458 62.910936, 34.4224961 62.9108936, 34.4223067 62.9109396, 34.4223564 62.910982, 34.4225458 62.910936))",20,улица Гоголя,,,Медвежьегорск,,,,yes,"[1103733871, 1103734044, 1103735587, 1103735037, 1103733871]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146980,BING,"POLYGON ((34.4270405 62.9102265, 34.4272868 62.910179, 34.427229 62.9101168, 34.4269827 62.9101643, 34.4270405 62.9102265))",1,улица Пушкина,,,Медвежьегорск,,,,yes,"[1103734994, 1103735526, 1103733925, 1103735060, 1103734994]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146981,BING,"POLYGON ((34.4246846 62.9092017, 34.424452 62.9090032, 34.4242973 62.9090408, 34.4245298 62.9092393, 34.4246846 62.9092017))",9,улица Лермонтова,,,Медвежьегорск,,,,yes,"[1103734460, 1103735537, 1103733955, 1103735074, 1103734460]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146982,BING,"POLYGON ((34.4293423 62.9113739, 34.429295 62.9113207, 34.4290298 62.9113696, 34.4290771 62.9114228, 34.4293423 62.9113739))",15,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103733247, 1103734140, 1103735634, 1103734584, 1103733247]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146983,BING,"POLYGON ((34.4277256 62.9131755, 34.4275993 62.91311, 34.4274473 62.9131707, 34.4275736 62.9132362, 34.4277256 62.9131755))",,,,,,,,,yes,"[1103734720, 1103735684, 1103734341, 1103733180, 1103734720]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146984,BING,"POLYGON ((34.4249814 62.9108821, 34.4251127 62.9108521, 34.4250369 62.9107831, 34.4249056 62.910813, 34.4249814 62.9108821))",,,,,,,,,yes,"[1103733268, 1103734624, 1103733468, 1103734780, 1103733268]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146985,BING,"POLYGON ((34.43416 62.9052774, 34.4340179 62.9051983, 34.4338872 62.905247, 34.4340293 62.9053261, 34.43416 62.9052774))",52,улица Дорофеева,,,Медвежьегорск,,,,yes,"[1103733818, 1103735013, 1103733344, 1103734686, 1103733818]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146986,BING,"POLYGON ((34.426398 62.9114651, 34.4264156 62.9113743, 34.4262136 62.9113661, 34.4261959 62.911457, 34.426398 62.9114651))",1,Загородняя улица,,,Медвежьегорск,,,,yes,"[1103735304, 1103733619, 1103734918, 1103733211, 1103735304]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146987,BING,"POLYGON ((34.425114 62.9087258, 34.4250599 62.9086656, 34.4245389 62.9087627, 34.424593 62.9088229, 34.425114 62.9087258))",,,,,,,,,yes,"[1103734326, 1103735571, 1103733749, 1103735442, 1103734326]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146988,BING,"POLYGON ((34.4302778 62.9116879, 34.4300277 62.911727, 34.430065 62.9117764, 34.430315 62.9117372, 34.4302778 62.9116879))",7,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103734571, 1103735615, 1103733349, 1103734691, 1103734571]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146989,BING,"POLYGON ((34.4236907 62.9092495, 34.4235777 62.9092806, 34.4236922 62.9093669, 34.4238052 62.9093358, 34.4236907 62.9092495))",,,,,,,,,yes,"[1103735345, 1103733231, 1103734957, 1103733657, 1103735345]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146990,BING,"POLYGON ((34.4284455 62.9131836, 34.4283183 62.9131278, 34.4281869 62.9131899, 34.4283142 62.9132457, 34.4284455 62.9131836))",25,улица Пушкина,,,Медвежьегорск,,,,yes,"[1103735577, 1103733490, 1103735142, 1103734021, 1103735577]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146991,BING,"POLYGON ((34.4230586 62.9108164, 34.4230085 62.9107737, 34.4227912 62.9108266, 34.4228414 62.9108693, 34.4230586 62.9108164))",18,улица Гоголя,,,Медвежьегорск,,,,yes,"[1103735424, 1103733269, 1103734982, 1103733734, 1103735424]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146992,BING,"POLYGON ((34.426498 62.9133952, 34.4264391 62.9133606, 34.426338 62.9133962, 34.4263969 62.9134309, 34.426498 62.9133952))",,,,,,,,,yes,"[1103734830, 1103735524, 1103734449, 1103735747, 1103734830]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146993,BING,"POLYGON ((34.4243246 62.9088175, 34.4240523 62.9085532, 34.4238554 62.9085953, 34.4241278 62.9088595, 34.4243246 62.9088175))",4,улица Лермонтова,,,Медвежьегорск,,,,yes,"[1103735123, 1103733476, 1103734785, 1103735725, 1103735123]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146994,BING,"POLYGON ((34.4270426 62.911234, 34.4269996 62.9111765, 34.4268755 62.9111957, 34.4269185 62.9112533, 34.4270426 62.911234))",,,,,,,,,yes,"[1103734438, 1103735519, 1103733896, 1103735650, 1103734438]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95146995,BING,"POLYGON ((34.4281362 62.9099964, 34.4280905 62.9099486, 34.4278726 62.9099917, 34.4279183 62.9100395, 34.4281362 62.9099964))",21,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103735614, 1103733545, 1103735220, 1103734091, 1103735614]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147000,BING,"POLYGON ((34.4305679 62.9114105, 34.4307013 62.9113912, 34.4306644 62.9113384, 34.4305311 62.9113577, 34.4305679 62.9114105))",,,,,,,,,yes,"[1103735480, 1103733827, 1103735018, 1103735564, 1103735480]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147001,BING,"POLYGON ((34.4245166 62.9106992, 34.4247338 62.910652, 34.4246734 62.9105943, 34.4244562 62.9106415, 34.4245166 62.9106992))",11,улица Гоголя,,,Медвежьегорск,,,,yes,"[1103734255, 1103735336, 1103735709, 1103734402, 1103734255]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147002,BING,"POLYGON ((34.4324527 62.9105882, 34.4323264 62.910518, 34.4321958 62.9105668, 34.4323221 62.9106369, 34.4324527 62.9105882))",1А,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103734059, 1103735186, 1103734345, 1103735447, 1103734059]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147003,,"POLYGON ((34.4572343 62.9035915, 34.4570354 62.9036821, 34.4571759 62.9037461, 34.4573748 62.9036555, 34.4572343 62.9035915))",7А,Онежская улица,,,Медвежьегорск,,,,yes,"[1103733414, 1103734748, 1103735705, 1103734385, 1103733414]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147004,,"POLYGON ((34.4607062 62.9047509, 34.4606125 62.9047095, 34.4604167 62.9048015, 34.4605105 62.9048429, 34.4607062 62.9047509))",,,,,,,,,yes,"[1103735482, 1103733370, 1103735025, 1103733853, 1103735482]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147005,BING,"POLYGON ((34.427223 62.9089795, 34.4271813 62.9089896, 34.4269674 62.9090413, 34.4270835 62.9091409, 34.427339 62.9090791, 34.427223 62.9089795))",25,Первомайская улица,,,Медвежьегорск,Продукты,09:00-21:00,,yes,"[1103733270, 1387634979, 1103734192, 1103735653, 1103734627, 1103733270]",,,,,,,,,,,,,,,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147006,BING,"POLYGON ((34.4314162 62.9111406, 34.4314912 62.9111058, 34.4314097 62.9110693, 34.4313347 62.9111041, 34.4314162 62.9111406))",,,,,,,,,yes,"[1103735108, 1103733461, 1103734779, 1103735721, 1103735108]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147007,BING,"POLYGON ((34.4258903 62.9101745, 34.425998 62.9101514, 34.4259146 62.9100709, 34.4258069 62.910094, 34.4258903 62.9101745))",6,улица Гоголя,,,Медвежьегорск,,,,yes,"[1103733321, 1103734258, 1103735671, 1103734677, 1103733321]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147008,BING,"POLYGON ((34.4216575 62.9105324, 34.4222374 62.9103831, 34.4220968 62.9102698, 34.4215092 62.9104211, 34.4215464 62.910451, 34.4212001 62.9105401, 34.4212763 62.9106015, 34.4216302 62.9105104, 34.4216575 62.9105324))",20,улица Островского,,,Медвежьегорск,,,,yes,"[1103735681, 1103734325, 1103735436, 1103733736, 6612763580, 6612763582, 6612763583, 6612763581, 1103735681]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147009,BING,"POLYGON ((34.4237512 62.9108832, 34.4236891 62.9108359, 34.4234441 62.9109027, 34.4235062 62.9109499, 34.4237512 62.9108832))",15,улица Гоголя,,,Медвежьегорск,,,,yes,"[1103735081, 1103735258, 1103734762, 1103733433, 1103735081]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147010,BING,"POLYGON ((34.4313911 62.911022, 34.4314988 62.9109784, 34.431317 62.9108852, 34.4312093 62.9109288, 34.4313911 62.911022))",,,,,,,,,yes,"[1103735004, 1103733522, 1103734675, 1103733316, 1103735004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147013,BING,"POLYGON ((34.4347188 62.905486, 34.4346146 62.9055334, 34.4348073 62.9056212, 34.4349114 62.9055737, 34.4347188 62.905486))",55,улица Дорофеева,,,Медвежьегорск,,,,yes,"[1103734833, 1103733241, 1103734970, 1103733670, 1103734833]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147014,BING,"POLYGON ((34.425724 62.9104288, 34.425677 62.910386, 34.4254598 62.9104355, 34.4255068 62.9104783, 34.425724 62.9104288))",7,улица Гоголя,,,Медвежьегорск,,,,yes,"[1103733623, 1103735054, 1103733904, 1103734922, 1103733623]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147015,BING,"POLYGON ((34.4303036 62.9124589, 34.4302639 62.9124163, 34.4300315 62.9124612, 34.4300712 62.9125038, 34.4303036 62.9124589))",10,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103733267, 1103734187, 1103735646, 1103734620, 1103733267]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147019,BING,"POLYGON ((34.4280944 62.9133354, 34.4279661 62.9132762, 34.4277741 62.9133624, 34.4279024 62.9134217, 34.4280944 62.9133354))",27,улица Пушкина,,,Медвежьегорск,,,,yes,"[1103735728, 1103733208, 1103734910, 1103733618, 1103735728]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147022,BING,"POLYGON ((34.4232435 62.9110028, 34.4231875 62.9109582, 34.422993 62.9110089, 34.423049 62.9110534, 34.4232435 62.9110028))",17,улица Гоголя,,,Медвежьегорск,,,,yes,"[1103734881, 1103735565, 1103734508, 1103735798, 1103734881]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147026,BING,"POLYGON ((34.4330485 62.9054054, 34.4328654 62.9054644, 34.4329399 62.9055124, 34.4331231 62.9054535, 34.4330485 62.9054054))",,,,,,,,,yes,"[1103735326, 1103733643, 1103735522, 1103733916, 1103735326]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147028,BING,"POLYGON ((34.4241509 62.9083465, 34.4248614 62.9082441, 34.4248213 62.9081864, 34.4241108 62.9082888, 34.4241509 62.9083465))",,,,,,,,,yes,"[1103735642, 1103734183, 1103735265, 1103733581, 1103735642]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147033,BING,"POLYGON ((34.4310542 62.9109836, 34.4311835 62.9109542, 34.4311178 62.9108943, 34.4309885 62.9109238, 34.4310542 62.9109836))",3,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103735758, 1103733929, 1103735528, 1103734453, 1103735758]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147036,BING,"POLYGON ((34.4270136 62.9093703, 34.4267989 62.9094255, 34.4269077 62.9095133, 34.4271224 62.909458, 34.4270136 62.9093703))",3,улица Островского,,,Медвежьегорск,,,,yes,"[1103735667, 1103734219, 1103735324, 1103733624, 1103735667]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147037,BING,"POLYGON ((34.425287 62.9106969, 34.4254461 62.9106658, 34.4253986 62.9106153, 34.4252394 62.9106463, 34.425287 62.9106969))",,,,,,,,,yes,"[1103734742, 1103735696, 1103734378, 1103733214, 1103734742]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147041,BING,"POLYGON ((34.4256276 62.9102412, 34.4255735 62.9101882, 34.4253285 62.9102399, 34.4253825 62.910293, 34.4256276 62.9102412))",8,улица Гоголя,,,Медвежьегорск,,,,yes,"[1103734181, 1103734883, 1103733561, 1103735260, 1103734181]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147043,BING,"POLYGON ((34.4295002 62.911532, 34.4292318 62.9115824, 34.429283 62.9116389, 34.4295514 62.9115886, 34.4295002 62.911532))",14,Первомайская улица,,,Медвежьегорск,,,,yes,"[1103733760, 1103734988, 1103733286, 1103735738, 1103733760]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147047,BING,"POLYGON ((34.4371154 62.9044261, 34.4370175 62.9043484, 34.4369183 62.9043743, 34.4370162 62.904452, 34.4371154 62.9044261))",40,улица Дорофеева,,,Медвежьегорск,,,,yes,"[1103735177, 1103733515, 1103734814, 1103735746, 1103735177]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147049,BING,"POLYGON ((34.4252037 62.910828, 34.4254335 62.9108038, 34.4254012 62.9107401, 34.4251713 62.9107642, 34.4252037 62.910828))",9А,улица Гоголя,,,Медвежьегорск,,,,yes,"[1103735679, 1103734323, 1103735421, 1103733733, 1103735679]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147051,BING,"POLYGON ((34.4351451 62.9053537, 34.4352083 62.9052904, 34.4351469 62.9052777, 34.4350837 62.905341, 34.4351451 62.9053537))",,,,,,,,,yes,"[1103733412, 1103734746, 1103735699, 1103734933, 1103733412]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95147053,BING,"POLYGON ((34.4284014 62.9122912, 34.4285681 62.9122643, 34.4284987 62.9121751, 34.4283319 62.9122021, 34.4284014 62.9122912))",20,улица Пушкина,,,Медвежьегорск,,,,yes,"[1103735575, 1103735660, 1103734648, 1103734019, 1103735575]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
