key;count_all;values_all;characters;grade
health_speciality;33;20;plain;u
light overhang;33;24;space;b
type:way;33;2;colon;u
source:proposed:name;33;11;colon;u
ref:trail.pl:id;33;33;rest;u
school:ML;33;3;letters;u
seamark:pylon:name;33;22;colon;u
busway:colour;33;1;colon;u
cycleway:left:description;33;7;colon;u
uic_ref:CH;33;24;letters;u
ref:vi;33;28;colon;u
health_specialty:naturopathy;33;3;colon;u
was:min_height;33;11;colon;u
protection_award;33;6;plain;u
parking:condition:right:hgv;33;8;colon;u
addr:geometry;33;2;colon;u
old_symbol:it;33;33;colon;u
NYDEC_Lands:URL;33;3;letters;u
crossing:signals:vibration;33;1;colon;u
lastcheck:servicetime;33;4;colon;u
building:rounded_wall_edge;33;2;colon;u
expert:fire_fighter;33;2;colon;u
dry_stone_condition;33;12;plain;u
not_name;33;20;plain;u
siren:direction;33;3;colon;u
demolition;33;1;plain;u
ref:sernap;33;25;colon;u
indoor:verticalpassage;33;2;colon;u
ref:guid;33;29;colon;u
end_construction;33;25;plain;u
genus:ca;33;8;colon;u
colour:lanes;33;12;colon;u
razed:wheelchair;33;3;colon;u
railway:signal:speed:old_speed;33;3;colon;u
crossing:signals:arrow;33;1;colon;u
harbour:operator;33;19;colon;u
ref:CAB;33;21;letters;u
NYDEC_Lands:PUBLICUSE;33;1;letters;u
from:ref;33;8;colon;u
ref:blm;33;24;colon;u
floodplain_delineated_by;33;3;plain;u
to_address_left_2;33;27;letters;u
aed:description;33;30;colon;u
pedestrian_lane;33;2;plain;u
expected_rpn_route_relations;32;3;plain;u
contact:alt_phone;32;29;colon;u
circuit:diff:cables;32;3;colon;u
cycleway:left:mofa;32;2;colon;u
scrub:age;32;5;colon;u
protection_id;32;5;plain;u
name:1994;32;20;letters;u
source:school_zone;32;3;colon;u
athletics:triple_jump;32;3;colon;u
short_name:sv;32;31;colon;u
short_name:sl;32;26;colon;u
ref:insular;32;16;colon;u
seamark:light:17:character;32;4;letters;u
reference_road_present;32;2;plain;u
wikipedia:-2020;32;1;rest;u
old_name:-2011-03-31;32;14;rest;g
disused:name:nan;32;26;colon;u
removed:building:part;32;6;colon;u
gliding;32;13;plain;u
socket:type;32;8;colon;u
CBS-buurtcode;32;30;rest;u
abandoned:sac_scale;32;3;colon;u
civilization;32;9;plain;u
name:hi-Latn;32;31;rest;g
tower:design;32;9;colon;u
recycling:tin_cans;32;1;colon;u
network:subway;32;3;colon;u
public_transport:v2ext;32;1;letters;u
payment:statoil;32;1;colon;u
cargo:container;32;1;colon;u
renovation_date;32;24;plain;u
lanes:sprint;32;7;colon;u
lanes:psv:forward:start_date;32;2;colon;u
old_name:1905;32;18;letters;u
health_specialty:vascular_surgery;32;1;colon;u
waterway:debouches;32;1;colon;u
alt_addr:housenumber;32;32;colon;u
width:end;32;21;colon;u
source:name:kw;32;6;colon;u
source:name:cy;32;6;colon;u
recycling:medicines;32;1;colon;u
removed:railway:signal:direction;32;3;colon;u
artwork:theme;32;21;colon;u
stop:feature:tactile_mat;32;3;colon;u
roller_coaster:type;32;16;colon;u
ref:kennzahl;32;6;colon;u
listed_building;32;12;plain;u
name:cmn-Latn;32;15;rest;g
harbour:nautical_club;32;10;colon;u
smoothness:lanes;32;9;colon;u
vehicle:cng;32;1;colon;u
lanes:reversible:forward;32;1;colon;u
fieldmargin;32;5;plain;u
demolished:transformer;32;2;colon;u
nm_provinsi;32;1;plain;u
verbindung;32;3;plain;u
network_mm;32;5;plain;u
shop:cosplay;32;1;colon;u
name_sign;32;31;plain;u
official_name:pnb;32;26;colon;u
official_name:sah;32;28;colon;u
official_name:vls;32;26;colon;u
official_name:vec;32;28;colon;u
official_name:cv;32;28;colon;u
official_name:my;32;28;colon;u
demolished:industrial;32;16;colon;u
official_name:ky;32;28;colon;u
future_name;32;23;plain;u
denomination_1;32;14;letters;u
recommend_speed;32;4;plain;u
payment:10bis;32;2;letters;u
ref:pkt-zycia-2023;32;32;rest;u
shop:2020;32;23;letters;u
cycleway:both:buffer:left;32;8;colon;u
way_features;32;28;plain;u
barrier:turnstile;32;1;colon;u
heritage:source;32;19;colon;u
ONEWAYDIR;32;2;letters;u
golf:stroke_index;32;30;colon;u
seamark:notice:3:distance_up;32;12;letters;u
kindergarten:capacity;32;22;colon;u
name:-2017;32;31;rest;g
parking:condition:right:disabled;32;32;colon;u
inscription:es;32;23;colon;u
electronics:repair;32;6;colon;u
PARK;32;2;letters;u
app;32;3;plain;u
bmx;32;9;plain;u
obstacle_type;32;5;plain;u
alt_name:sc;32;27;colon;u
building:colour_1;32;18;letters;u
proposed:addr:inclusion;32;1;colon;u
owner:start_date;32;4;colon;u
LUG11DESIG;32;14;letters;u
LUG11;32;14;letters;u
id_provins;32;1;plain;u
protection;32;8;plain;u
shoulder:agricultural;32;2;colon;u
communication:amateur_radio:wca;32;32;colon;u
EBC;32;1;letters;u
hgv_trailer;32;1;plain;u
guidepost:check_date;32;2;colon;u
fixme:fax;32;28;colon;u
bridge_over;32;1;plain;u
outline;32;4;plain;u
turnout:backward;32;1;colon;u
pipeline:notice;32;1;colon;u
lst:syfte3;32;3;letters;u
width:start;32;18;colon;u
permission;32;11;plain;u
old_name:-2008-09-10;32;9;rest;g
information:public_transport:time_table;32;1;colon;u
mooring:left;32;3;colon;u
disused:payment:coins;32;3;colon;u
payment:maestro_contactless;32;2;colon;u
city_realestate_cadastre;32;32;plain;u
capacity:baby;32;3;colon;u
old_name:en:-2008-09-10;32;9;rest;g
arcade;32;7;plain;u
year_of_construction:rebuilt;32;11;colon;u
osm_way;32;28;plain;u
restriction:hazmat;32;4;colon;u
building:cladding:colour;32;4;colon;u
IPP:Endereco;32;32;letters;u
IPP:REGIAO_ADM;32;7;letters;u
barrier:leitplanke;32;3;colon;u
was:anglican;32;1;colon;u
highway:bicycle;32;4;colon;u
direction:zh;32;5;colon;u
sells:newspapers;32;2;colon;u
ethnc_grps;32;12;plain;u
stops;32;15;plain;u
platform:height;32;10;colon;u
addr:hamlet:suffix;32;1;colon;u
addr:province:cy;32;6;colon;u
amenity:closed;32;13;colon;u
bike:scenic;32;1;colon;u
roof:shape_1;32;11;letters;u
manufacturer:ref;32;31;colon;u
id_provinsi;32;1;plain;u
demolished:brand;32;26;colon;u
building:colour:level0;32;2;letters;u
old_name:uk:-2008-09-10;32;9;rest;g
construction:generator:source;32;5;colon;u
nm_keca;32;12;plain;u
proposed:destination:ref:to;32;6;colon;u
source_ref:1;32;32;letters;u
waterway:rises;32;1;colon;u
wikidata:-2020;32;1;rest;u
medical_service:inpatient;32;2;colon;u
education_level;32;3;plain;u
ele:fixme;32;24;colon;u
seamark:anchorage:surface;32;6;colon;u
turn_to_close;32;5;plain;u
source:hinge;32;1;colon;u
tower_frequency;32;28;plain;u
organization;32;24;plain;u
memorial:subject:wikidata;32;30;colon;u
old_official_name:zh;32;30;colon;u
old_official_name:en;32;31;colon;u
disease:others;32;1;colon;u
source:database;32;1;colon;u
transition;32;3;plain;u
junction:note;32;6;colon;u
atis_ref;32;1;plain;u
gauge:2006-05-15-;32;1;rest;u
bike:safety;32;2;colon;u
lanes:reversible:backward;32;1;colon;u
building:level:underground;32;3;colon;u
addr:district:uk;32;4;colon;u
minweight:emergency;32;1;colon;u
was:vending;32;13;colon;u
overtaking:reason;32;7;colon;u
currency:XMR;32;2;letters;u
destination:lang:fi:lanes:backward;32;24;colon;u
seamark:light:17:colour;32;4;letters;u
audioguide;32;1;plain;u
operator:project;32;1;colon;u
caution;32;24;plain;u
bridge:name:ga;32;15;colon;u
his:1914-:highway;32;2;rest;u
payment:RadCard;32;1;letters;u
name:moe;32;16;colon;u
name:fa-Latn;32;31;rest;g
ancillary_services;32;6;plain;u
old_name:yue-Hant;32;29;rest;g
alt_name:kk-Arab;32;29;rest;g
service:vehicle:car_wash;32;1;colon;u
building:housenumber;32;27;colon;u
note:landform;32;2;colon;u
note:phone;32;29;colon;u
ref:observado;32;32;colon;u
removed:brand:wikidata;32;28;colon;u
fixme:addr1;32;31;letters;u
harbour:pharmacy;32;8;colon;u
seamark:mooring:status;32;2;colon;u
removed:support;32;11;colon;u
operator:historic;32;13;colon;u
dry_surface;32;4;plain;u
septa:stop_id;32;32;colon;u
abandoned:area:aeroway;32;3;colon;u
bicycle:hour_off;32;3;colon;u
ref:telecom;32;30;colon;u
was:name:ja;32;23;colon;u
bicycle:hour_on;32;2;colon;u
city_wall:colour;32;2;colon;u
watsan:opening_hours;32;21;colon;u
was:recycling:plastic_bottles;32;1;colon;u
gun_turret;32;1;plain;u
addr:hamlet:suffix:en;32;1;colon;u
addr:hamlet:suffix:zh;32;1;colon;u
farmland_type;32;4;plain;u
ERROR;32;24;letters;u
communication:space;32;3;colon;u
architect:en;32;21;colon;u
ref:mtsk;32;32;colon;u
ref:roll;32;32;colon;u
source:piste;32;7;colon;u
construction:tunnel;32;2;colon;u
brewery:note;32;32;colon;u
give_way:lanes;32;11;colon;u
ref:DPD;32;32;letters;u
destination:lang:sv:lanes:backward;32;24;colon;u
seamark:buoy_lateral:name;32;31;colon;u
atm:brand;32;6;colon;u
drinking_water:iced_water;32;3;colon;u
nps:COMMENT;32;13;letters;u
TIRImmobilienID;32;25;letters;u
source:am;32;5;colon;u
addr:housename:fr;32;23;colon;u
lanes:psv:backward:start_date;32;2;colon;u
From_Elev;32;1;letters;u
FIXME:old_ref:pre_1945;31;2;letters;u
GCM:Marker_Location;31;27;letters;u
name:fr-x-fc;31;21;rest;g
network:name:en;31;2;colon;u
COUNTY;31;3;letters;u
name:IRIS;31;31;letters;u
conditional;31;22;plain;u
source:hgv:lanes;31;1;colon;u
EDICION_HI;31;1;letters;u
historic:website;31;19;colon;u
ref:blklot;31;31;colon;u
old_ref:2016-06-09--2019-04-17;31;1;rest;u
ADDRESS;31;31;letters;u
level_crossing:gate;31;2;colon;u
seamark:light:17:period;31;7;letters;u
ref:color_tx;31;1;colon;u
not:power;31;5;colon;u
access:double_decker_bus;31;1;colon;u
name:cr-sro;31;8;rest;g
VEGSPERRINGTYPE;31;5;letters;u
ref:bcil;31;27;colon;u
tenant_8;31;31;letters;u
not:tourism;31;11;colon;u
old_name:ru:1923-1993;31;8;rest;g
width:centre_divider:end;31;14;colon;u
building:material:level0;31;1;letters;u
waste:number;31;28;colon;u
construction:material;31;5;colon;u
seamark:light:17:sector_end;31;30;letters;u
neme:en;31;18;colon;u
railway:css;31;1;colon;u
education:female_student_pupil_returnees_2010_2011;31;9;letters;u
ref:FR:PacaTHD;31;31;letters;u
psv:forward:conditional;31;6;colon;u
amenity:2022;31;11;letters;u
seamark:light:17:range;31;24;letters;u
medical_service:home_based_care;31;2;colon;u
freight_lines;31;2;plain;u
rank_aci:2016;31;31;letters;u
capacity:firefighter;31;22;colon;u
old_name:1878;31;7;letters;u
name:Autrans;31;9;letters;u
old_name:1982-2016;31;1;rest;g
highway:1987-1988;31;1;rest;u
waste_type:common_urban_waste;31;2;colon;u
medical_service:pmtct;31;2;colon;u
socket:type2:power;31;8;letters;u
dog:discipline:ring;31;1;colon;u
genus:vls;31;1;colon;u
GCM:Marker_Type;31;16;letters;u
ref:CA:QC:id_provinc;31;31;letters;u
delivery_service;31;1;plain;u
ref:GB:nhs_ods;31;31;letters;u
cycleway:right:lit;31;2;colon;u
recycling:bulbs;31;2;colon;u
was:official_ref;31;31;colon;u
fresno_lot_depth;31;6;plain;u
old_name:en:-1982;31;1;rest;g
bridge:descr;31;28;colon;u
naptan_ref;31;31;plain;u
right:division;31;4;colon;u
clothes:rental;31;9;colon;u
old_name:-1982;31;1;rest;g
power_supply:operator;31;2;colon;u
old_name:-1987;31;1;rest;g
mtb:surface;31;3;colon;u
disused:piste:grooming;31;5;colon;u
wikipedia:cy;31;31;colon;u
wikipedia:no;31;29;colon;u
information:for;31;1;colon;u
source:route_ref;31;9;colon;u
GCM:Published;31;3;letters;u
name:right:ko;31;2;colon;u
recognized_by;31;16;plain;u
destination:arrow:to:backward;31;8;colon;u
contact:databox;31;30;colon;u
addr:housenumber_3;31;31;letters;u
building:colour:front:level:1;31;1;letters;u
highway:razed;31;10;colon;u
natura2000:name;31;31;letters;u
capacity:designated;31;6;colon;u
barrier_arms;31;2;plain;u
monorail:note;31;1;colon;u
official_name:bpy;31;27;colon;u
official_name:als;31;27;colon;u
official_name:crh;31;24;colon;u
official_name:mr;31;27;colon;u
official_name:gv;31;27;colon;u
official_name:yi;31;27;colon;u
ref:FR:RennesMetropole;31;31;letters;u
address:number;31;31;colon;u
training:ja;31;13;colon;u
GCM:Country_Municipal;31;5;letters;u
removed:note;31;28;colon;u
scuba_diving:type:biology;31;2;colon;u
old_name:uk:1982-2016;31;1;rest;g
width:centre_divider:start;31;14;colon;u
abandoned:mtb:scale:uphill;31;5;colon;u
check_date:osmica;31;4;colon;u
building:part:level;31;8;colon;u
gabarito;31;2;plain;u
name:1992-2009;31;1;rest;g
bus:lanes:both_ways;31;3;colon;u
lunch:specials;31;3;colon;u
GCM:Elevation;31;27;letters;u
inscription:sv;31;29;colon;u
railway:ref:MVV_VBL;31;21;letters;u
headway:peak;31;6;colon;u
sota:summit_code;31;31;colon;u
seamark:light_float:system;31;1;colon;u
width:2021;31;7;letters;u
alt_name:os;31;28;colon;u
tip;31;4;plain;u
fitness_station:rings;31;1;colon;u
fre;31;3;plain;u
Nome;31;30;letters;u
alt_name:right;31;20;colon;u
maxstay:disabled;31;6;colon;u
fitness_station:air_walker;31;1;colon;u
medical_service:basic_emergency_obsteric_care;31;2;colon;u
nosign;31;3;plain;u
contractor:tunnel_drilling;31;6;colon;u
idp;31;2;plain;u
name:1927-1992;31;1;rest;g
ward_code;31;16;plain;u
source:tags;31;15;colon;u
Park_No;31;31;letters;u
scuba_diving:type:speleology;31;2;colon;u
tactile_paving:note;31;20;colon;u
LABEL;31;24;letters;u
old_wikipedia;31;27;plain;u
destination:reg_ref:lanes;31;14;colon;u
not:maxspeed;31;5;colon;u
seamark:seabed_area:quality;31;2;colon;u
abandoned:wikidata;31;10;colon;u
vegetables;31;6;plain;u
baby_hatch;31;1;plain;u
harbour:chandler;31;4;colon;u
seamark:light:1:reference;31;31;letters;u
old_name:en:1982-2016;31;1;rest;g
brand:kr;31;1;colon;u
tour;31;12;plain;u
crossing:position:exact;31;12;colon;u
luminaires per pole;31;1;space;b
internet_access_1;31;5;letters;u
note:barrier;31;29;colon;u
proposed:generator:method;31;2;colon;u
rescue_equipment;31;6;plain;u
ref:NSW_RMS;31;3;letters;u
building:level:1;31;25;letters;u
pop_densit;31;12;plain;u
education:committees;31;21;colon;u
climbing:feature;31;4;colon;u
icao:ru;31;31;colon;u
atv:repair;31;2;colon;u
building:cladding:front:level:1;31;1;letters;u
addr:terracename;31;6;colon;u
construction:healthcare;31;10;colon;u
removed:pump:status;31;5;colon;u
ref:street_lamp;31;25;colon;u
id:clearchannel;31;30;colon;u
abandoned:old_name;31;5;colon;u
name:2010-2013;31;3;rest;g
choker;31;3;plain;u
hidden:highway;31;5;colon;u
seamark:light:17:sector_start;31;31;letters;u
destination:street:lang:fr;31;17;colon;u
GCM:Latitude;31;27;letters;u
zz_SK53;31;1;letters;u
highway:2002-2006;31;1;rest;u
name:left:ko;31;2;colon;u
cannon:type;31;12;colon;u
lockers;31;23;plain;u
long_name:ber;31;31;colon;u
street_lamp:colour;31;2;colon;u
railway:name:ja;31;1;colon;u
fuel:firewood;31;2;colon;u
old_name:ru:1982-2016;31;1;rest;g
payment:voucher;31;2;colon;u
ref:thansen;31;31;colon;u
highway:1986-1993;31;1;rest;u
tree_pit:diameter;31;1;colon;u
lock_gate;31;4;plain;u
monitoring:air_quality:NO2;31;2;letters;u
name:rs;31;22;colon;u
bridge:id;31;31;colon;u
admin_level:-1973-01-01;31;1;rest;u
razed:addr:country;31;2;colon;u
herbstfarbe;31;7;plain;u
communications;31;11;plain;u
donor;31;28;plain;u
produce_on_site;31;2;plain;u
seamark:light:17:height;31;31;letters;u
GCM:Longitude;31;27;letters;u
x-natural;31;6;rest;u
surface:date;31;6;colon;u
removed:structure;31;1;colon;u
childcare:FR;31;7;letters;u
darts;31;9;plain;u
street_id;31;19;plain;u
ref:wijkcode;31;31;colon;u
currency:MAD;31;1;letters;u
source:building:type;31;2;colon;u
solid;31;2;plain;u
segregated:left;31;2;colon;u
ele:de;31;28;colon;u
payment:visa_paywave;31;1;colon;u
parking:condition:both:customers;31;17;colon;u
tiger:zip_left_11;31;1;letters;u
footway:left:incline;31;8;colon;u
name:sal;31;27;colon;u
GCM:Country;31;1;letters;u
GCM:Link;31;29;letters;u
disused:area:aeroway;31;3;colon;u
GCM:Tablet_Marking;31;31;letters;u
source:bicycle_parking;31;2;colon;u
cycleway:left:traffic_mode:both;31;2;colon;u
biodiesel;31;2;plain;u
scuba_diving:guided_tours;31;1;colon;u
removed:fence_type;31;5;colon;u
public_transport:busline:crossboundary;31;1;colon;u
zz_SK53_uploaded;31;2;letters;u
turn:psv:lanes:forward;31;17;colon;u
GCM:Number;31;31;letters;u
GCM:Country_Province;31;1;letters;u
ref:hs;31;26;colon;u
operator:oc;31;4;colon;u
pizza;31;4;plain;u
houseware;31;12;plain;u
clans;31;16;plain;u
left:municipality;31;21;colon;u
sauna:heating;31;2;colon;u
parking:condition:left:hgv;31;3;colon;u
boundary_type:FR;31;1;letters;u
Perim_mile;31;31;letters;u
note:parking;31;21;colon;u
old_ref:-2014-09-16;31;1;rest;u
doctor;31;23;plain;u
wayside_cross:de;31;2;colon;u
Upazila;31;3;letters;u
payment:union_card;31;2;colon;u
maxweight:hgv:forward:conditional;31;9;colon;u
payment:linpark;31;1;colon;u
mtb:description:cs;31;17;colon;u
service:vehicle:shock_absorbers;31;2;colon;u
proposed:smoothness;31;3;colon;u
scuba_diving;31;9;plain;u
srouce_ref;31;1;plain;u
group_id;31;31;plain;u
barrier:rfid;31;2;colon;u
scuba_diving:entry:stair;31;2;colon;u
old_name:uk:-1982;31;1;rest;g
source:railway:lzb;31;12;colon;u
road_speed;31;6;plain;u
old_name:ru:-1982;31;1;rest;g
ref:nhlr;31;30;colon;u
payment:eTicket;31;1;letters;u
education:dropout_early_marriage;31;3;colon;u
proposed:building:levels:underground;31;3;colon;u
beer_brand;31;19;plain;u
razed:maxspeed;31;7;colon;u
disused:man_made:2009-2013;31;1;rest;u
note3;31;18;letters;u
building:wikidata;31;31;colon;u
parking_lane:left;31;5;colon;u
delivery:website;31;20;colon;u
recycling:electronic_items;31;1;colon;u
railway:name:ja-Latn;31;1;rest;g
opening_hours:winter;31;28;colon;u
fuel:diesel_s10;31;1;letters;u
ref:hcc;31;17;colon;u
tree_lined:both;31;4;colon;u
was:tunnel;31;5;colon;u
admin;31;11;plain;u
summer_terrace;31;1;plain;u
payment:hayakaken;31;1;colon;u
prpois:barrio;31;26;colon;u
railway:name:ja-Hira;31;1;rest;g
photography;31;5;plain;u
proposed:plant:source;31;5;colon;u
building:basement_no_opening;30;1;colon;u
payment:svensk_biogas;30;1;colon;u
medical_service:youth_friendly_services;30;2;colon;u
ign_name;30;3;plain;u
name:former;30;13;colon;u
old_ref:-2004-05-01;30;1;rest;u
demolished:cables;30;4;colon;u
passenger_information_display:voice;30;2;colon;u
presencecap;30;1;plain;u
weather:radiosonde;30;1;colon;u
light_type;30;1;plain;u
source:old_name:-2009-10-13;30;1;rest;g
disused:shelter_type;30;4;colon;u
abandoned:reporting_marks;30;1;colon;u
gauge:1901-04-09-1935;30;1;rest;u
pattern;30;5;plain;u
sausage;30;3;plain;u
delivery:tapow;30;2;colon;u
no:power;30;3;colon;u
building:maintenance:backup:operator;30;4;colon;u
no:brand;30;1;colon;u
rooms:single;30;10;colon;u
payment:nissenren;30;1;colon;u
jogging;30;6;plain;u
highway:1987-2004;30;1;rest;u
detached;30;6;plain;u
highway:2009-2012;30;1;rest;u
proposed:generator:type;30;4;colon;u
old_name:1900;30;7;letters;u
old_name:1941;30;4;letters;u
source_date:position;30;2;colon;u
scuba_diving:equipment;30;2;colon;u
departure;30;10;plain;u
maxheight:left;30;19;colon;u
speaker;30;4;plain;u
floodplain;30;3;plain;u
recycling:glass:colour;30;10;colon;u
removed:board_type;30;8;colon;u
autonomy:access;30;3;colon;u
disused:nat_ref;30;30;colon;u
foot:proposed;30;1;colon;u
obsolete_postal_code;30;29;plain;u
staircase;30;10;plain;u
godawari municipality;30;6;space;b
bridge:int_name;30;16;colon;u
email_2;30;29;letters;u
removed:direction;30;21;colon;u
explosives;30;1;plain;u
highway_authority_ref:-2004-05-01;30;1;rest;u
ref:oeko_modellregion;30;1;colon;u
seafood;30;13;plain;u
tickets:trolleybus;30;1;colon;u
railway:traffic_mode:freight;30;1;colon;u
old_ref:right;30;24;colon;u
old_ref:-2007;30;1;rest;u
wikipedia:sd;30;15;colon;u
wikipedia:lv;30;30;colon;u
medical_system:chinese;30;3;colon;u
addr:city:oc;30;26;colon;u
source:old_rcn_ref;30;1;colon;u
removed:traffic_sign:backward;30;23;colon;u
source:maxspeed:trailer;30;1;colon;u
parking:condition:left:2:residents;30;4;letters;u
LMCU:TYPEVOIE;30;2;letters;u
recycling:copper;30;1;colon;u
proposed:type;30;4;colon;u
official_name:nah;30;26;colon;u
old_name:-2004-05-01;30;1;rest;g
ref_scra;30;29;plain;u
website:es;30;26;colon;u
website:pl;30;28;colon;u
distance_and_average_time:ko;30;17;colon;u
it:sales;30;8;colon;u
railway:switch:lock;30;5;colon;u
removed:type;30;6;colon;u
phone:2020;30;29;letters;u
st_pcode_1;30;17;letters;u
sport:basketball;30;1;colon;u
ta:name;30;25;colon;u
disused:ferry;30;5;colon;u
building_base_material:plastic_sheeting;30;2;colon;u
flood:latest;30;1;colon;u
sportsbar;30;1;plain;u
shadow;30;2;plain;u
recycling:plaster;30;1;colon;u
embedded_rails:backward;30;4;colon;u
language:panel:de;30;1;colon;u
fuel:Gasolina;30;1;letters;u
parking:lane:left:capacity:free:hourly:winter;30;14;colon;u
tra;30;11;plain;u
takeaway:description;30;25;colon;u
tea;30;6;plain;u
alt_name:ps;30;20;colon;u
cep;30;21;plain;u
hsv;30;4;plain;u
lhn;30;5;plain;u
destination:lang:fi:lanes:forward;30;26;colon;u
street_cabinet:count;30;6;colon;u
int_name:en;30;16;colon;u
asc;30;27;plain;u
delivery:gomamam;30;1;colon;u
colour:border;30;6;colon;u
usability:bicycle;30;4;colon;u
url_2;30;20;letters;u
nr:endc;30;4;colon;u
nagacity:address;30;25;colon;u
parking_site_id;30;29;plain;u
direction:lanes;30;13;colon;u
wabe;30;5;plain;u
abandoned:int_ref;30;5;colon;u
typeunplugging;30;2;plain;u
service:vehicle:wheel_alignment;30;1;colon;u
cycleway:left:lane:width;30;5;colon;u
shop:-2020;30;20;rest;u
not:bridge;30;3;colon;u
holes;30;6;plain;u
hitas;30;1;plain;u
cult;30;10;plain;u
corp;30;6;plain;u
teryt:sym_ul;30;21;colon;u
oil_pumps;30;6;plain;u
free_refill_note;30;26;plain;u
mofa:lanes:forward;30;7;colon;u
parking:right:restriction:taxi;30;2;colon;u
fax_1;30;28;letters;u
not:kerb;30;1;colon;u
fresno_lot_area;30;6;plain;u
shoulder:left:surface;30;7;colon;u
st_length_;30;30;rest;u
razed:parking;30;3;colon;u
urbanbrussels:criteria;30;2;colon;u
barrier:obstacle;30;2;colon;u
highway:1993-2001;30;1;rest;u
referencenumber;30;21;plain;u
leisure:historic;30;7;colon;u
no:building;30;5;colon;u
pre-CLC:natural;30;5;rest;u
payment:ep_minipay;30;2;colon;u
РџРѕР»РµР·РЅР°СЏ РґР»РёРЅР° РїСѓС‚Рё (Рј);30;24;space;b
phone:reservation;30;28;colon;u
piste:certifications;30;8;colon;u
treat;30;3;plain;u
removed:postal_code;30;27;colon;u
sector_level;30;3;plain;u
height_over_DTM:value;30;1;letters;u
canal:bridge:ref;30;16;colon;u
abandoned:generator:source;30;5;colon;u
secondary_activity;30;1;plain;u
old_name:ru:--2016-01-15;30;10;rest;g
man_made:1927-2009;30;1;rest;u
dolly;30;2;plain;u
foot:surface;30;3;colon;u
inofficial;30;1;plain;u
old_name:yue-HK-Latn;30;27;rest;g
ref:directional;30;4;colon;u
lit:hour_on;30;1;colon;u
education:program_rain;30;1;colon;u
darts:type;30;3;colon;u
naptan:name;30;26;colon;u
fuel:ethanol_free;30;1;colon;u
DATAFANGST;30;2;letters;u
disused:internet_access:fee;30;4;colon;u
disused:drive_through;30;3;colon;u
public_transport:transitional_area:to;30;20;colon;u
parking:right:authentication:ticket;30;2;colon;u
fitness_trail;30;1;plain;u
trail_name;30;10;plain;u
fuel:v-power_diesel;30;1;rest;u
tilt_angle;30;2;plain;u
piste:crossing;30;3;colon;u
payment:prepaid_card;30;1;colon;u
payment:customer_card;30;2;colon;u
name:induk_idn;30;10;colon;u
wood:burnt;30;1;colon;u
dgpc:inscription_date;30;24;colon;u
ref:Stadtbus;30;6;letters;u
sr:red;30;19;colon;u
wheelchair:description:fr;30;30;colon;u
Alamat;30;30;letters;u
parking:lane:left:conditional;30;12;colon;u
nps:comment;30;16;colon;u
name:one;30;16;colon;u
name:ood;30;30;colon;u
name:atv;30;18;colon;u
sfgov.org:OBJECTID;30;30;rest;u
proposed:bus;30;3;colon;u
division:champion;30;1;colon;u
old_name:1950-1956;30;2;rest;g
camp_pitch;30;13;plain;u
punting;30;3;plain;u
office:type;30;6;colon;u
addr:name_unit;30;3;colon;u
was:location;30;10;colon;u
nm_provins;30;1;plain;u
wayside;30;2;plain;u
aircraft:manufacturer;30;16;colon;u
STREETDIR;30;3;letters;u
via:sr-Latn;30;20;rest;u
climb;30;3;plain;u
abandoned:source:date;30;1;colon;u
name:ko-KR;30;14;rest;g
seamark:light:17:national_information;30;29;letters;u
AUCAME:ref:INSEE;30;29;letters;u
healthcare_departments:medical_laboratory;30;2;colon;u
provided_by;30;2;plain;u
sfgov.org:OFFICE_TYP;30;2;rest;u
seamark:conveyor:category;30;2;colon;u
education:male_student_pupil_returnees_2010_2011;30;10;letters;u
pole:ref;30;30;colon;u
old_shop:2;30;25;letters;u
ref:DB_Energie;30;30;letters;u
service:vehicle:tint;30;1;colon;u
number_kt;30;2;plain;u
landuse1;30;1;letters;u
old_name:hak;30;29;colon;u
harbour:mechanics_workshop;30;3;colon;u
culvert:profile_closed;30;2;colon;u
TГ¬nh trбєЎng;30;6;space;b
compartment:NE;30;28;letters;u
note:ISO3166-2;30;17;rest;u
construction:departures_board;30;2;colon;u
sostoyanie;30;1;plain;u
scuba_diving:entry:ladder;30;2;colon;u
access:agricultural;30;3;colon;u
parking:condition:right:3:time_interval;30;12;letters;u
source:maxspeed:lanes;30;8;colon;u
enshrine;30;26;plain;u
old_ref:2014-09-16--2016-06-09;30;1;rest;u
skoterled;30;8;plain;u
marked_trail_yellow:bike;30;1;colon;u
old_name:uk:-2016;30;6;rest;g
circuit:endpoint:building;30;1;colon;u
old_name:ru:-2016;30;6;rest;g
schedule;30;26;plain;u
ref:gost;30;1;colon;u
feat_code;30;3;plain;u
SUBTIPO;30;3;letters;u
replanted;30;3;plain;u
ref:uscg;30;30;colon;u
cuisine:crossover;30;21;colon;u
payment:diners;30;1;colon;u
source:drinking_water;30;12;colon;u
wikiversity;30;10;plain;u
description:ko;30;30;colon;u
computer;30;14;plain;u
area:footway;30;5;colon;u
place:historic;30;6;colon;u
cinema:IMAX;30;3;letters;u
ref:RBL;30;2;letters;u
ref:kvk;30;29;colon;u
kll_oid;30;19;plain;u
payment:RingGo;30;1;letters;u
disused:product;30;22;colon;u
abandoned:source;30;18;colon;u
scuba_diving:type:ooze;30;2;colon;u
name:ja-Kana;30;12;rest;g
source:addr:substreet;30;3;colon;u
harbour:telephone;30;4;colon;u
source:ru;30;5;colon;u
