key;count_all;values_all;characters;grade
segregated;1292230;61;plain;g
nhd:reach_code;1289117;845467;colon;g
tiger:name_base_1;1277270;164582;letters;g
crossing:markings;1273308;171;colon;g
design;1252078;323;plain;g
bench;1240321;143;plain;g
nhd:com_id;1210444;1176003;colon;g
crossing:island;1201817;39;colon;g
addr:neighborhood;1200178;115;colon;g
addr:housename;1185123;470423;colon;g
crossing_ref;1162583;114;plain;g
addr:streetnumber;1159600;6203;colon;g
cuisine;1149770;61299;plain;g
incline;1140180;2194;plain;g
mml:class;1132330;109;colon;g
cycleway:both;1126257;35;colon;g
at_bev:addr_date;1109983;67;colon;g
traffic_calming;1098562;283;plain;g
traffic_sign;1097824;29694;plain;g
ford;1086167;117;plain;g
raba:id;1084369;29;colon;g
nycdoitt:bin;1071682;993995;colon;g
source:position;1070139;4244;colon;g
name:etymology:wikidata;1065891;67396;colon;g
office;1063106;4491;plain;g
postal_code;1055780;132051;plain;g
route;1053613;1099;plain;g
nhd:fdate;1048309;533;colon;g
lanes:backward;1048281;24;colon;g
kerb;1043398;206;plain;g
name:ja;1037841;288581;colon;g
crop;1034751;3683;plain;g
information;1034222;2227;plain;g
name:ar;1031143;458739;colon;g
lanes:forward;1018784;38;colon;g
colour;999569;21164;plain;g
cycleway;993249;252;plain;g
building:colour;985028;59163;colon;g
check_date;965346;6047;plain;g
junction;962752;252;plain;g
turn:lanes;935682;6542;colon;g
genus;928935;3365;plain;g
residential;910585;1098;plain;g
gnis:fcode;895048;122;colon;g
ref:minvskaddress;882732;882731;colon;g
fire_hydrant:diameter;868611;1274;colon;g
denomination;855051;4544;plain;g
gnis:ftype;845782;56;colon;g
fire_hydrant:position;831832;2417;colon;g
cables;828990;208;plain;g
lamp_type;810866;239;plain;g
pmfsefin:idedif;808299;804998;colon;g
name_1;802456;219211;letters;g
hgv;800060;138;plain;g
mtb:scale;799758;217;colon;g
operator:type;793458;1188;colon;g
addr:city:en;788800;435;colon;g
maxspeed:type;788573;828;colon;g
ref:linz:building_id;781741;781180;colon;g
destination;776524;298674;plain;g
healthcare;761457;1278;plain;g
name:ko;759475;312148;colon;g
aeroway;754545;274;plain;g
maaamet:ETAK;751291;749727;letters;g
addr:region;743223;410;colon;g
sac_scale;742830;182;plain;g
lane_markings;741897;21;plain;g
old_ref;736038;35633;plain;g
chicago:building_id;726032;720750;colon;g
contact:phone;717774;537110;colon;g
passenger_lines;714078;23;plain;g
noname;713715;168;plain;g
construction;712421;1298;plain;g
roof:orientation;699541;385;colon;g
building:use;698875;1187;colon;g
network:wikidata;693720;2095;colon;g
population;687597;46831;plain;g
trail_visibility;686669;143;plain;g
cycleway:right;681678;123;colon;g
gnis:created;680915;2261;colon;g
old_name;662072;259824;plain;g
fence_type;659404;1266;plain;g
circumference;658135;4468;plain;g
LINZ:source_version;657527;9;letters;g
bin;651980;37;plain;g
ref:RS:kucni_broj;645245;644842;letters;g
traffic_signals;642882;349;plain;g
email;639745;569080;plain;g
name:ca;635867;224325;colon;g
NHD:FDate;629534;410;letters;g
official_name;626264;233573;plain;g
NHD:FTYPE;624851;41;letters;g
gnis:county_id;618026;467;colon;g
contact:website;616623;353066;colon;g
gnis:state_id;615596;121;colon;g
note:ja;613907;739;colon;g
motorcar;605265;45;plain;g
lamp_mount;601674;133;plain;g
LINZ:layer;596447;76;letters;g
addr:street:name;594501;5233;colon;g
LINZ:dataset;589727;10;letters;g
seamark:type;589099;141;colon;g
motorcycle;584777;120;plain;g
addr:street:type;577440;58;colon;g
it:fvg:ctrn:code;576503;28;colon;g
name:fr;575099;267884;colon;g
it:fvg:ctrn:revision;574128;11;colon;g
int_name;566798;208154;plain;g
tower:type;565591;1544;colon;g
ref:LV:addr;562946;541391;letters;g
ref:AGESIC;553379;539542;letters;g
addr:place:en;551258;4231;colon;g
support;543150;319;plain;g
parking_space;534368;397;plain;g
toll;533709;46;plain;g
indoor;528294;216;plain;g
int_ref;527455;1879;plain;g
ref:FR:FANTOIR;525759;461550;letters;g
designation;512461;31421;plain;g
house;505142;135;plain;g
nysgissam:review;504769;24;colon;g
operator:wikipedia;502986;7427;colon;g
addr:inclusion;502754;51;colon;g
tiger:name_direction_suffix;497497;133;colon;g
addr:flats;493033;52239;colon;g
addr:street:prefix;484186;19;colon;g
name:de;483735;213779;colon;g
seasonal;481726;210;plain;g
is_in;473006;31617;plain;g
water_source;468013;433;plain;g
source:conscriptionnumber;464207;20;colon;g
traffic_signals:direction;464133;598;colon;g
addr:county;453660;2276;colon;g
structure;448722;141;plain;g
bicycle_parking;446959;644;plain;g
source:zoomlevel;444214;32;colon;g
source:tracer;443611;15;colon;g
building:roof;428654;395;colon;g
name:fi;417938;160247;colon;g
boat;414303;82;plain;g
name:be;409859;118660;colon;g
ref:BRN;406564;381116;letters;g
building:levels:underground;405798;60;colon;g
lojic:bgnum;405512;405337;colon;g
addr:provisionalnumber;405302;7796;colon;g
roof:height;403385;2149;colon;g
zone:traffic;401561;74;colon;g
meadow;399461;65;plain;g
url;398877;225535;plain;g
destination:ref;396640;47375;colon;g
substation;396086;459;plain;g
ref:codcat;395512;347519;colon;g
tiger:name_type_1;391777;199;letters;g
name:pl;390680;68881;colon;g
handrail;387837;63;plain;g
internet_access;382672;338;plain;g
seats;381188;330;plain;g
geobase:acquisitionTechnique;378640;139;letters;g
addr:ward;375689;5494;colon;g
takeaway;369977;107;plain;g
recycling_type;369383;103;plain;g
short_name;369235;140272;plain;g
landcover;363882;209;plain;g
vehicle;359770;139;plain;g
building:condition;356932;123;colon;g
distance;355812;43882;plain;g
route_ref;349604;71935;plain;g
network:wikipedia;345915;1386;colon;g
turn:lanes:forward;345124;1610;colon;g
maxheight;336919;2204;plain;g
NHS;335946;28;letters;g
railway:traffic_mode;332529;22;colon;g
shelter_type;329493;542;plain;g
hiking;326889;90;plain;g
name:es;326115;136613;colon;g
from;323171;154327;plain;g
turn:lanes:backward;322997;1366;colon;g
to;321145;160179;plain;g
population:date;320223;636;colon;g
source:ref;319331;6518;colon;g
contact:email;317490;203797;colon;g
button_operated;313671;28;plain;g
image;312480;283651;plain;g
isced:level;309161;275;colon;g
source:imagery;308771;162;colon;g
mapillary;307667;264628;plain;g
circuits;306698;48;plain;g
fid;306069;275711;plain;g
CLC:code;303714;196;letters;g
railway:track_ref;302452;16861;colon;g
ramp;301210;60;plain;g
CLC:year;300819;14;letters;g
living_street;300046;65;plain;g
maxweight;297747;1055;plain;g
name:zh-Hant;296587;65619;rest;g
step_count;295014;776;plain;g
addr:village;293211;22291;colon;g
railway:etcs;293015;7;colon;g
addr:subward;290787;13351;colon;g
shoulder;290399;30;plain;g
cycleway:left;290381;112;colon;g
source:building;290032;429;colon;g
craft;289006;2656;plain;g
public_transport:version;288588;20;colon;g
ref:UrbIS;287973;243878;letters;g
railway:signal:direction;282282;55;colon;g
trees;280620;773;plain;g
diameter_crown;278409;1460;plain;g
utility;278242;308;plain;g
dibavod:id;277648;205690;colon;g
piste:type;275918;172;colon;g
supervised;275121;273;plain;g
branch;274299;122049;plain;g
placement;273663;68;plain;g
owner;273036;20823;plain;g
railway:pzb;272047;17;colon;g
door;267639;277;plain;g
substance;265518;171;plain;g
nhd:fcode;264951;92;colon;g
naptan:AtcoCode;262956;262019;letters;g
ref:IFOPT;259640;197816;letters;g
